fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124162,2024-02-01 08:50:00,2024-02-01 08:50:00,-1,0.098223,short|midpoint_escape_extended|midpoint_cross_deep|rotation_tight|midpoint_wick_mixed|close_escape_strong|range_balance_mid|volume_reengagement_absent|prior_midpoint_with|session_escape_defined|spread_high|europe_morning,17185.5,17179.26,17190.03,17179.26,4.84,1,target,10.25,0.0,1.4
rw_001,124239,2024-02-01 15:15:00,2024-02-01 15:15:00,1,0.172052,long|midpoint_escape_extended|midpoint_cross_shallow|rotation_uncompressed|midpoint_wick_rejecting|close_escape_weak|range_balance_mid|volume_reengagement_defined|prior_midpoint_against|session_escape_defined|spread_low|us_overlap,17212.5,17205.55,17205.55,17222.06,-7.6,1,stop,1.9,14.45,0.65
rw_001,124259,2024-02-01 16:55:00,2024-02-01 16:55:00,-1,0.077437,short|midpoint_escape_thin|midpoint_cross_deep|rotation_compressed|midpoint_wick_mixed|close_escape_moderate|range_balance_mid|volume_reengagement_absent|prior_midpoint_with|session_escape_late_strong|spread_low|us_overlap,17208.55,17193.44,17219.54,17193.44,14.94,1,target,27.25,2.15,0.17
rw_001,124270,2024-02-01 17:50:00,2024-02-01 17:50:00,1,0.186279,long|midpoint_escape_extended|midpoint_cross_defined|rotation_tight|midpoint_wick_against_escape|close_escape_weak|range_balance_escape_side|volume_reengagement_absent|prior_midpoint_against|session_escape_late_strong|spread_low|late_session,17230.75,17216.15,17216.15,17250.83,-15.95,1,stop,2.35,49.3,1.35
rw_001,124276,2024-02-01 18:20:00,2024-02-01 18:20:00,-1,0.078593,short|midpoint_escape_extended|midpoint_cross_deep|rotation_compressed|midpoint_wick_rejecting|close_escape_strong|range_balance_escape_side|volume_reengagement_absent|prior_midpoint_with|session_escape_late_strong|spread_low|late_session,17176.45,17192.71,17192.71,17154.09,-17.66,1,stop,5.3,18.2,1.4
rw_001,124284,2024-02-01 19:00:00,2024-02-01 19:00:00,1,0.064884,long|midpoint_escape_defined|midpoint_cross_deep|rotation_tight|midpoint_wick_mixed|close_escape_moderate|range_balance_mid|volume_reengagement_absent|prior_midpoint_against|session_escape_late_strong|spread_mid|late_session,17220.3,17245.02,17202.32,17245.02,23.32,1,target,34.6,1.75,1.4
rw_001,124290,2024-02-01 19:30:00,2024-02-01 19:45:00,1,0.206046,long|midpoint_escape_extended|midpoint_cross_defined|rotation_tight|midpoint_wick_mixed|close_escape_weak|range_balance_mid|volume_reengagement_absent|prior_midpoint_against|session_escape_late_strong|spread_low|late_session,17240.25,17266.24,17221.35,17266.24,25.67,4,target,38.85,9.1,0.32
rw_001,124297,2024-02-01 20:05:00,2024-02-01 20:10:00,1,0.236894,long|midpoint_escape_defined|midpoint_cross_shallow|rotation_compressed|midpoint_wick_mixed|close_escape_weak|range_balance_mid|volume_reengagement_absent|prior_midpoint_against|session_escape_defined|spread_low|late_session,17239.6,17266.35,17220.15,17266.35,25.5,2,target,30.75,14.6,1.25
rw_001,124407,2024-02-02 06:15:00,2024-02-02 06:15:00,-1,0.15292,short|midpoint_escape_defined|midpoint_cross_deep|rotation_tight|midpoint_wick_against_escape|close_escape_moderate|range_balance_mid|volume_reengagement_absent|prior_midpoint_against|session_escape_thin|spread_high|early_session,17509.65,17513.9,17513.9,17503.81,-5.65,1,stop,0.15,5.5,1.4
rw_001,124413,2024-02-02 06:45:00,2024-02-02 06:50:00,1,0.152142,long|midpoint_escape_extended|midpoint_cross_defined|rotation_tight|midpoint_wick_against_escape|close_escape_weak|range_balance_mid|volume_reengagement_absent|prior_midpoint_with|session_escape_thin|spread_high|early_session,17512.9,17508.72,17508.72,17518.65,-5.58,2,stop,1.3,6.85,1.4
