fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124149,2024-02-01 07:45:00,2024-02-01 07:55:00,-1,0.076153,short|drive_extension_stretched|path_loss_high|participation_flat|opening_extreme_outer|vwap_reversion_defined|counter_body_absent|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_mixed|session_phase_early|spread_high|early_session,17200.85,17194.8,17205.25,17194.8,4.65,3,target,7.95,2.6,1.4
rw_001,124190,2024-02-01 11:10:00,2024-02-01 11:10:00,-1,0.021697,short|drive_extension_stretched|path_loss_mid|participation_expanding|opening_extreme_outer|vwap_reversion_deep|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_high|europe_morning,17221.45,17229.25,17229.25,17210.73,-9.2,1,stop,0.25,16.8,1.4
rw_001,124197,2024-02-01 11:45:00,2024-02-01 11:45:00,-1,0.096429,short|drive_extension_stretched|path_loss_mid|participation_flat|opening_extreme_outer|vwap_reversion_deep|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_high|europe_morning,17222.25,17230.66,17230.66,17210.69,-9.81,1,stop,0.0,11.5,1.4
rw_001,124204,2024-02-01 12:20:00,2024-02-01 12:40:00,-1,0.086001,short|drive_extension_stretched|path_loss_low|participation_fading|opening_extreme_deep|vwap_reversion_deep|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_high|europe_morning,17234.85,17243.79,17243.79,17222.56,-10.34,5,stop,0.15,9.9,1.4
rw_001,124215,2024-02-01 13:15:00,2024-02-01 14:05:00,-1,0.217757,short|drive_extension_stretched|path_loss_mid|participation_fading|opening_extreme_deep|vwap_reversion_deep|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_high|us_overlap,17231.55,17239.77,17239.77,17220.24,-9.62,11,stop,10.1,18.1,1.4
rw_001,124239,2024-02-01 15:15:00,2024-02-01 15:15:00,-1,0.193977,short|drive_extension_stretched|path_loss_mid|participation_expanding|opening_extreme_outer|vwap_reversion_shallow|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_low|us_overlap,17212.5,17202.94,17219.45,17202.94,8.91,1,target,14.45,1.9,0.65
rw_001,124249,2024-02-01 16:05:00,2024-02-01 16:10:00,-1,0.091413,short|drive_extension_stretched|path_loss_low|participation_expanding|opening_extreme_outer|vwap_reversion_defined|counter_body_turning|adverse_absorption_heavy|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_low|us_overlap,17222.85,17231.17,17231.17,17211.4,-8.57,2,stop,7.7,11.05,0.25
rw_001,124423,2024-02-02 07:35:00,2024-02-02 07:35:00,-1,0.216546,short|drive_extension_stretched|path_loss_low|participation_flat|opening_extreme_outer|vwap_reversion_deep|counter_body_turning|adverse_absorption_thin|drive_reclaim_clear|prior_boundary_supportive|time_reversal_mixed|session_phase_early|spread_low|early_session,17515.6,17519.49,17519.49,17510.25,-5.29,1,stop,1.85,4.3,1.4
rw_001,124475,2024-02-02 11:55:00,2024-02-02 12:05:00,-1,0.287193,short|drive_extension_stretched|path_loss_mid|participation_expanding|opening_extreme_outer|vwap_reversion_defined|counter_body_turning|adverse_absorption_thin|drive_reclaim_clear|prior_boundary_supportive|time_reversal_aligned|session_phase_core|spread_low|europe_morning,17513.25,17504.04,17519.94,17504.04,7.81,3,target,10.45,3.0,1.4
rw_001,124481,2024-02-02 12:25:00,2024-02-02 12:25:00,-1,0.171432,short|drive_extension_stretched|path_loss_low|participation_fading|opening_extreme_outer|vwap_reversion_defined|counter_body_mixed|adverse_absorption_thin|drive_reclaim_clear|prior_boundary_supportive|time_reversal_aligned|session_phase_core|spread_high|europe_morning,17513.2,17520.1,17520.1,17503.71,-8.3,1,stop,1.45,9.95,1.4
rw_001,124488,2024-02-02 13:00:00,2024-02-02 13:15:00,-1,0.325228,short|drive_extension_stretched|path_loss_low|participation_fading|opening_extreme_outer|vwap_reversion_shallow|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_supportive|time_reversal_aligned|session_phase_core|spread_low|europe_morning,17512.05,17519.09,17519.09,17502.37,-8.44,4,stop,7.15,7.35,1.4
rw_001,124496,2024-02-02 13:40:00,2024-02-02 14:15:00,-1,0.194634,short|drive_extension_stretched|path_loss_low|participation_fading|opening_extreme_outer|vwap_reversion_defined|counter_body_mixed|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_supportive|time_reversal_aligned|session_phase_core|spread_high|us_overlap,17516.95,17523.97,17523.97,17507.3,-8.42,8,stop,9.6,10.35,1.4
rw_001,124533,2024-02-02 16:45:00,2024-02-02 16:45:00,1,0.124566,long|drive_extension_defined|path_loss_mid|participation_expanding|opening_extreme_inside|vwap_reversion_defined|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_low|us_overlap,17479.1,17496.44,17466.49,17496.44,17.34,1,target,47.85,0.0,0.0
rw_001,124542,2024-02-02 17:30:00,2024-02-02 17:30:00,1,0.124247,long|drive_extension_light|path_loss_mid|participation_expanding|opening_extreme_inside|vwap_reversion_shallow|counter_body_absent|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_late|spread_low|late_session,17487.9,17471.11,17471.11,17510.98,-16.79,1,stop,4.5,36.4,0.0
rw_001,124703,2024-02-05 08:00:00,2024-02-05 08:00:00,1,-0.063882,long|drive_extension_stretched|path_loss_mid|participation_expanding|opening_extreme_outer|vwap_reversion_defined|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_neutral|time_reversal_aligned|session_phase_early|spread_high|early_session,17596.65,17601.56,17593.08,17601.56,3.51,1,target,8.35,0.0,1.4
rw_001,124712,2024-02-05 08:45:00,2024-02-05 08:45:00,1,-0.044859,long|drive_extension_stretched|path_loss_mid|participation_expanding|opening_extreme_outer|vwap_reversion_shallow|counter_body_absent|adverse_absorption_heavy|drive_reclaim_clear|prior_boundary_neutral|time_reversal_aligned|session_phase_early|spread_high|europe_morning,17597.9,17602.63,17594.46,17602.63,3.33,1,target,7.05,0.0,1.4
rw_001,124722,2024-02-05 09:35:00,2024-02-05 09:35:00,1,-0.000653,long|drive_extension_stretched|path_loss_low|participation_flat|opening_extreme_outer|vwap_reversion_shallow|counter_body_mixed|adverse_absorption_heavy|drive_reclaim_clear|prior_boundary_neutral|time_reversal_aligned|session_phase_early|spread_high|europe_morning,17598.6,17603.4,17595.11,17603.4,3.4,1,target,9.65,0.15,1.4
rw_001,124748,2024-02-05 11:45:00,2024-02-05 11:45:00,1,0.032792,long|drive_extension_stretched|path_loss_low|participation_expanding|opening_extreme_outer|vwap_reversion_shallow|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_neutral|time_reversal_aligned|session_phase_core|spread_high|europe_morning,17603.2,17597.26,17597.26,17611.36,-7.34,1,stop,1.55,11.95,1.4
rw_001,124755,2024-02-05 12:20:00,2024-02-05 12:30:00,1,0.119858,long|drive_extension_stretched|path_loss_low|participation_flat|opening_extreme_outer|vwap_reversion_shallow|counter_body_mixed|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_neutral|time_reversal_aligned|session_phase_core|spread_high|europe_morning,17603.2,17612.14,17596.7,17612.14,7.54,3,target,19.9,1.7,1.4
rw_001,124781,2024-02-05 14:30:00,2024-02-05 14:35:00,-1,0.012075,short|drive_extension_light|path_loss_low|participation_expanding|opening_extreme_deep|vwap_reversion_deep|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_neutral|time_reversal_aligned|session_phase_core|spread_high|us_overlap,17626.95,17633.93,17633.93,17617.36,-8.38,2,stop,5.35,13.5,1.4
rw_001,124789,2024-02-05 15:10:00,2024-02-05 15:20:00,-1,0.028118,short|drive_extension_defined|path_loss_low|participation_expanding|opening_extreme_deep|vwap_reversion_deep|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_neutral|time_reversal_aligned|session_phase_core|spread_high|us_overlap,17633.6,17624.15,17640.47,17624.15,8.05,3,target,18.4,4.6,1.4
rw_001,124808,2024-02-05 16:45:00,2024-02-05 16:45:00,1,0.060014,long|drive_extension_stretched|path_loss_low|participation_expanding|opening_extreme_outer|vwap_reversion_defined|counter_body_absent|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_neutral|time_reversal_aligned|session_phase_core|spread_low|us_overlap,17606.3,17598.42,17598.42,17617.13,-7.88,1,stop,17.9,18.25,0.0
rw_001,124982,2024-02-06 08:15:00,2024-02-06 08:15:00,-1,0.00068,short|drive_extension_stretched|path_loss_mid|participation_flat|opening_extreme_outer|vwap_reversion_deep|counter_body_turning|adverse_absorption_heavy|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_early|spread_high|europe_morning,17638.65,17641.97,17641.97,17634.09,-4.72,1,stop,0.2,5.1,1.4
rw_001,124990,2024-02-06 08:55:00,2024-02-06 08:55:00,-1,-0.02176,short|drive_extension_stretched|path_loss_mid|participation_fading|opening_extreme_outer|vwap_reversion_deep|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_early|spread_high|europe_morning,17639.45,17642.9,17642.9,17634.71,-4.85,1,stop,0.9,5.75,1.4
rw_001,125007,2024-02-06 10:20:00,2024-02-06 10:20:00,-1,0.101126,short|drive_extension_stretched|path_loss_mid|participation_expanding|opening_extreme_deep|vwap_reversion_deep|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_early|spread_low|europe_morning,17662.55,17666.78,17666.78,17656.74,-5.63,1,stop,0.05,12.35,1.4
rw_001,125014,2024-02-06 10:55:00,2024-02-06 11:00:00,-1,-0.082974,short|drive_extension_stretched|path_loss_mid|participation_expanding|opening_extreme_deep|vwap_reversion_deep|counter_body_mixed|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_early|spread_high|europe_morning,17655.95,17649.13,17660.91,17649.13,5.42,2,target,8.3,2.55,1.4
rw_001,125020,2024-02-06 11:25:00,2024-02-06 11:45:00,-1,0.050562,short|drive_extension_stretched|path_loss_mid|participation_expanding|opening_extreme_outer|vwap_reversion_defined|counter_body_turning|adverse_absorption_heavy|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_high|europe_morning,17649.3,17641.91,17654.67,17641.91,5.99,5,target,11.9,5.0,1.4
rw_001,125041,2024-02-06 13:10:00,2024-02-06 13:15:00,-1,0.072432,short|drive_extension_stretched|path_loss_low|participation_fading|opening_extreme_outer|vwap_reversion_shallow|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_high|us_overlap,17641.4,17632.82,17647.64,17632.82,7.18,2,target,10.85,2.05,1.4
rw_001,125057,2024-02-06 14:30:00,2024-02-06 14:35:00,1,0.161771,long|drive_extension_stretched|path_loss_low|participation_expanding|opening_extreme_deep|vwap_reversion_deep|counter_body_absent|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_supportive|time_reversal_aligned|session_phase_core|spread_low|us_overlap,17583.45,17593.87,17575.87,17593.87,9.02,2,target,13.5,0.35,1.4
rw_001,125082,2024-02-06 16:35:00,2024-02-06 16:35:00,-1,0.111376,short|drive_extension_stretched|path_loss_low|participation_expanding|opening_extreme_outer|vwap_reversion_shallow|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_low|us_overlap,17636.05,17625.46,17643.76,17625.46,10.49,1,target,26.9,0.0,0.1
rw_001,125271,2024-02-07 09:20:00,2024-02-07 09:20:00,1,-0.039359,long|drive_extension_defined|path_loss_mid|participation_expanding|opening_extreme_deep|vwap_reversion_deep|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_supportive|time_reversal_aligned|session_phase_early|spread_high|europe_morning,17559.9,17555.82,17555.82,17565.51,-5.48,1,stop,3.35,6.6,1.4
rw_001,125280,2024-02-07 10:05:00,2024-02-07 10:05:00,1,-0.000993,long|drive_extension_defined|path_loss_low|participation_expanding|opening_extreme_deep|vwap_reversion_deep|counter_body_turning|adverse_absorption_heavy|drive_reclaim_clear|prior_boundary_supportive|time_reversal_aligned|session_phase_early|spread_high|europe_morning,17557.85,17553.39,17553.39,17563.99,-5.86,1,stop,0.85,6.9,1.4
rw_001,125286,2024-02-07 10:35:00,2024-02-07 10:50:00,1,-0.008569,long|drive_extension_defined|path_loss_mid|participation_expanding|opening_extreme_deep|vwap_reversion_deep|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_supportive|time_reversal_aligned|session_phase_early|spread_high|europe_morning,17561.0,17567.54,17556.24,17567.54,5.14,4,target,8.0,1.25,1.4
rw_001,125299,2024-02-07 11:40:00,2024-02-07 11:40:00,-1,0.02315,short|drive_extension_stretched|path_loss_low|participation_flat|opening_extreme_outer|vwap_reversion_defined|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_high|europe_morning,17578.95,17584.16,17584.16,17571.79,-6.61,1,stop,0.0,8.05,1.4
rw_001,125310,2024-02-07 12:35:00,2024-02-07 12:40:00,-1,0.120823,short|drive_extension_stretched|path_loss_mid|participation_fading|opening_extreme_outer|vwap_reversion_defined|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_high|europe_morning,17582.2,17574.86,17587.54,17574.86,5.94,2,target,10.3,0.0,1.4
rw_001,125317,2024-02-07 13:10:00,2024-02-07 13:20:00,-1,0.086144,short|drive_extension_stretched|path_loss_mid|participation_fading|opening_extreme_outer|vwap_reversion_shallow|counter_body_absent|adverse_absorption_thin|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_high|us_overlap,17578.85,17584.2,17584.2,17571.49,-6.75,3,stop,5.35,7.3,1.4
rw_001,125331,2024-02-07 14:20:00,2024-02-07 14:20:00,-1,0.040332,short|drive_extension_stretched|path_loss_mid|participation_expanding|opening_extreme_outer|vwap_reversion_shallow|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_high|us_overlap,17578.85,17571.19,17584.42,17571.19,6.31,1,target,12.05,2.3,1.35
rw_001,125359,2024-02-07 16:40:00,2024-02-07 16:40:00,-1,0.002299,short|drive_extension_stretched|path_loss_mid|participation_expanding|opening_extreme_outer|vwap_reversion_deep|counter_body_turning|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_low|us_overlap,17641.65,17649.59,17649.59,17630.74,-7.94,1,stop,5.55,15.9,0.0
rw_001,125573,2024-02-08 11:30:00,2024-02-08 11:30:00,1,-0.022662,long|drive_extension_stretched|path_loss_mid|participation_expanding|opening_extreme_outer|vwap_reversion_shallow|counter_body_absent|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_high|europe_morning,17752.0,17757.98,17747.65,17757.98,4.58,1,target,6.8,0.0,1.4
rw_001,125585,2024-02-08 12:30:00,2024-02-08 12:30:00,1,0.091259,long|drive_extension_stretched|path_loss_low|participation_fading|opening_extreme_outer|vwap_reversion_shallow|counter_body_absent|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_high|europe_morning,17753.15,17748.41,17748.41,17759.66,-6.14,1,stop,0.0,6.6,1.4
rw_001,125591,2024-02-08 13:00:00,2024-02-08 13:10:00,1,0.026829,long|drive_extension_stretched|path_loss_low|participation_fading|opening_extreme_outer|vwap_reversion_deep|counter_body_turning|adverse_absorption_thin|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_high|europe_morning,17746.1,17741.24,17741.24,17752.78,-6.26,3,stop,1.1,8.0,1.4
rw_001,125605,2024-02-08 14:10:00,2024-02-08 14:10:00,1,-0.028889,long|drive_extension_stretched|path_loss_low|participation_expanding|opening_extreme_deep|vwap_reversion_deep|counter_body_absent|adverse_absorption_heavy|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_mid|us_overlap,17715.55,17723.01,17710.12,17723.01,6.06,1,target,13.35,3.5,1.4
rw_001,125613,2024-02-08 14:50:00,2024-02-08 14:50:00,1,0.071992,long|drive_extension_stretched|path_loss_mid|participation_expanding|opening_extreme_outer|vwap_reversion_deep|counter_body_turning|adverse_absorption_heavy|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_mid|us_overlap,17727.05,17721.67,17721.67,17734.45,-6.78,1,stop,0.2,5.85,1.4
rw_001,125624,2024-02-08 15:45:00,2024-02-08 15:45:00,1,0.055733,long|drive_extension_stretched|path_loss_mid|participation_expanding|opening_extreme_outer|vwap_reversion_deep|counter_body_mixed|adverse_absorption_defined|drive_reclaim_clear|prior_boundary_against|time_reversal_aligned|session_phase_core|spread_low|us_overlap,17728.8,17722.67,17722.67,17737.23,-7.53,1,stop,0.25,6.45,1.4
