fold_id,signal_time,entry_time,exit_time,direction,score,residual_band,causal_cost_edge,decision_spread_broker_points,applicable_execution_spread_broker_points,cost_source,execution_spread_fallback_used,gross_broker_points,spread_cost_broker_points,net_broker_points,evaluable_after_cost,exclusion_reason,market_day,market_hour
V2D008,2025-11-25 18:50:00,2025-11-25 18:55:00,2025-11-25 19:25:00,1,0.13845887579084998,0.0,0.018461183438779994,120.0,120.0,max_decision_and_execution_spread,False,11425.0,120.0,11305.0,True,,2025-11-25,11
V2D008,2025-11-26 06:25:00,2025-11-26 06:30:00,2025-11-26 07:00:00,-1,-0.4758794438742344,0.0,0.15676028739386547,140.0,140.0,max_decision_and_execution_spread,False,136.99999999989814,140.0,-3.0000000001018634,True,,2025-11-25,23
V2D008,2025-11-26 08:30:00,2025-11-26 08:35:00,2025-11-26 09:05:00,1,1.0621035550966271,0.0,0.16521610857058647,140.0,140.0,max_decision_and_execution_spread,False,100.0,140.0,-40.0,True,,2025-11-26,1
V2D008,2025-11-27 03:00:00,2025-11-27 03:05:00,2025-11-27 03:35:00,1,0.4337287919377437,0.0,0.14287536675596266,140.0,140.0,max_decision_and_execution_spread,False,-2713.000000000102,140.0,-2853.000000000102,True,,2025-11-26,20
V2D008,2025-11-27 06:35:00,2025-11-27 06:40:00,2025-11-27 07:10:00,1,0.8998435054773263,0.0,0.2190923317683925,140.0,140.0,max_decision_and_execution_spread,False,313.00000000010186,140.0,173.00000000010186,True,,2025-11-26,23
V2D008,2025-11-28 17:50:00,2025-11-28 17:55:00,2025-11-28 18:25:00,1,0.5570757078938078,0.0,0.046519892099694975,120.0,120.0,max_decision_and_execution_spread,False,-1211.9999999998981,120.0,-1331.9999999998981,True,,2025-11-28,10
V2D008,2025-12-01 16:10:00,2025-12-01 16:15:00,2025-12-01 16:45:00,1,1.2908124525436626,0.0,0.03037205770690971,60.0,60.0,max_decision_and_execution_spread,False,-4864.999999999782,60.0,-4924.999999999782,True,,2025-12-01,9
V2D008,2025-12-02 12:05:00,2025-12-02 12:10:00,2025-12-02 12:40:00,1,0.479093418567407,0.0,0.041842219962225154,60.0,60.0,max_decision_and_execution_spread,False,350.0,60.0,290.0,True,,2025-12-02,5
V2D008,2025-12-03 04:10:00,2025-12-03 04:15:00,2025-12-03 04:45:00,1,0.4753595850036209,0.0,0.04850608010240189,60.0,60.0,max_decision_and_execution_spread,False,-463.00000000010186,60.0,-523.0000000001019,True,,2025-12-02,21
V2D008,2025-12-03 20:40:00,2025-12-03 20:45:00,2025-12-03 21:15:00,1,0.49789147596668454,0.0,0.019186569401418503,40.0,40.0,max_decision_and_execution_spread,False,-425.0,40.0,-465.0,True,,2025-12-03,13
V2D008,2025-12-04 06:40:00,2025-12-04 06:45:00,2025-12-04 07:15:00,1,0.5648063433970427,0.0,0.0731930466605653,60.0,60.0,max_decision_and_execution_spread,False,700.0,60.0,640.0,True,,2025-12-03,23
V2D008,2025-12-05 01:30:00,2025-12-05 01:35:00,2025-12-05 02:05:00,-1,-0.8821630925912626,0.0,0.0516388151760739,60.0,60.0,max_decision_and_execution_spread,False,-775.0,60.0,-835.0,True,,2025-12-04,18
V2D008,2025-12-05 07:55:00,2025-12-05 08:00:00,2025-12-05 08:30:00,1,0.29426189308484735,0.0,0.0882785679254542,60.0,60.0,max_decision_and_execution_spread,False,-275.0,60.0,-335.0,True,,2025-12-05,1
V2D008,2025-12-09 03:00:00,2025-12-09 03:05:00,2025-12-09 03:35:00,-1,-0.42857142857142855,0.0,0.06857142857142857,60.0,60.0,max_decision_and_execution_spread,False,875.0,60.0,815.0,True,,2025-12-08,20
V2D008,2025-12-09 19:00:00,2025-12-09 19:05:00,2025-12-09 19:35:00,1,0.39797521382440115,0.0,0.025135276662593756,60.0,60.0,max_decision_and_execution_spread,False,-2075.0,60.0,-2135.0,True,,2025-12-09,12
V2D008,2025-12-10 19:50:00,2025-12-10 19:55:00,2025-12-10 20:25:00,1,0.5085662759242561,0.0,0.025969341749323714,60.0,60.0,max_decision_and_execution_spread,False,-4700.0,60.0,-4760.0,True,,2025-12-10,12
V2D008,2025-12-11 07:25:00,2025-12-11 07:30:00,2025-12-11 08:00:00,-1,-0.13872832369942198,0.0,0.033294797687861276,60.0,60.0,max_decision_and_execution_spread,False,-2500.0,60.0,-2560.0,True,,2025-12-11,0
V2D008,2025-12-11 13:45:00,2025-12-11 13:50:00,2025-12-11 14:20:00,1,0.7144006436041834,0.0,0.046339501206757845,60.0,60.0,max_decision_and_execution_spread,False,2850.0,60.0,2790.0,True,,2025-12-11,6
V2D008,2025-12-11 22:25:00,2025-12-11 22:30:00,2025-12-11 23:00:00,-1,-0.43275350021213604,0.0,0.030547305897327248,60.0,60.0,max_decision_and_execution_spread,False,-3600.0,60.0,-3660.0,True,,2025-12-11,15
V2D008,2025-12-12 13:35:00,2025-12-12 13:40:00,2025-12-12 14:10:00,-1,-1.2823218997361479,0.0,0.03799472295514512,60.0,60.0,max_decision_and_execution_spread,False,-1700.0,60.0,-1760.0,True,,2025-12-12,6
V2D008,2025-12-12 22:25:00,2025-12-12 22:30:00,2025-12-12 23:00:00,-1,-0.270081490104773,0.0,0.022351571594877766,60.0,30.0,max_decision_and_execution_spread,False,50.0,60.0,-10.0,True,,2025-12-12,15
V2D008,2025-12-15 01:00:00,2025-12-15 01:05:00,2025-12-15 01:35:00,-1,-0.7314949201743153,0.0,0.026124818577649592,60.0,60.0,max_decision_and_execution_spread,False,250.0,60.0,190.0,True,,2025-12-14,18
V2D008,2025-12-15 06:10:00,2025-12-15 06:15:00,2025-12-15 06:45:00,-1,-0.6960257787325457,0.0,0.06186895810955961,60.0,60.0,max_decision_and_execution_spread,False,-1850.0,60.0,-1910.0,True,,2025-12-14,23
V2D008,2025-12-16 01:00:00,2025-12-16 01:05:00,2025-12-16 01:35:00,1,0.6864572047671017,0.0,0.03120260021668472,60.0,60.0,max_decision_and_execution_spread,False,-4950.0,60.0,-5010.0,True,,2025-12-15,18
V2D008,2025-12-17 05:50:00,2025-12-17 05:55:00,2025-12-17 06:25:00,-1,-0.11498973305954825,0.0,0.039425051334702255,60.0,60.0,max_decision_and_execution_spread,False,525.0,60.0,465.0,True,,2025-12-16,22
V2D008,2025-12-17 14:45:00,2025-12-17 14:50:00,2025-12-17 15:20:00,1,0.09230769230769231,0.0,0.044307692307692305,60.0,60.0,max_decision_and_execution_spread,False,-7675.0,60.0,-7735.0,True,,2025-12-17,7
V2D008,2025-12-17 21:50:00,2025-12-17 21:55:00,2025-12-17 22:25:00,1,0.265955954551879,0.0,0.020199186421657977,60.0,60.0,max_decision_and_execution_spread,False,-775.0,60.0,-835.0,True,,2025-12-17,14
V2D008,2025-12-17 22:50:00,2025-12-17 22:55:00,2025-12-17 23:25:00,-1,-0.7193299392346838,0.0,0.02364920348168823,60.0,60.0,max_decision_and_execution_spread,False,-4800.0,60.0,-4860.0,True,,2025-12-17,15
V2D008,2025-12-18 03:50:00,2025-12-18 03:55:00,2025-12-18 04:25:00,-1,-0.16201620162016203,0.0,0.025922592259225923,60.0,60.0,max_decision_and_execution_spread,False,-1825.0,60.0,-1885.0,True,,2025-12-17,20
V2D008,2025-12-18 19:05:00,2025-12-18 19:10:00,2025-12-18 19:40:00,-1,-2.1697919481221666,0.0,0.01556336125371521,60.0,60.0,max_decision_and_execution_spread,False,-4250.0,60.0,-4310.0,True,,2025-12-18,12
V2D008,2025-12-31 01:10:00,2025-12-31 01:15:00,2025-12-31 01:45:00,-1,-0.7622110552765222,0.0,0.0578894472361809,60.0,60.0,max_decision_and_execution_spread,False,525.0,60.0,465.0,True,,2025-12-30,18
V2D008,2025-12-31 12:25:00,2025-12-31 12:30:00,2025-12-31 13:00:00,1,0.5014925373134328,0.0,0.057313432835820896,60.0,60.0,max_decision_and_execution_spread,False,-75.0,60.0,-135.0,True,,2025-12-31,5
V2D008,2026-01-02 12:20:00,2026-01-02 12:25:00,2026-01-02 12:55:00,-1,-0.17156473391580618,0.0,0.04575059571088165,60.0,60.0,max_decision_and_execution_spread,False,-1700.0,60.0,-1760.0,True,,2026-01-02,5
V2D008,2026-01-02 15:50:00,2026-01-02 15:55:00,2026-01-02 16:25:00,-1,-0.3220035778175313,0.0,0.051520572450805005,60.0,60.0,max_decision_and_execution_spread,False,550.0,60.0,490.0,True,,2026-01-02,8
V2D008,2026-01-05 18:45:00,2026-01-05 18:50:00,2026-01-05 19:20:00,1,0.22690226250244444,0.0,0.018778118276064366,60.0,60.0,max_decision_and_execution_spread,False,-5375.0,60.0,-5435.0,True,,2026-01-05,11
V2D008,2026-01-06 13:00:00,2026-01-06 13:05:00,2026-01-06 13:35:00,1,0.2297650130548303,0.0,0.05013054830287206,60.0,60.0,max_decision_and_execution_spread,False,-425.0,60.0,-485.0,True,,2026-01-06,6
V2D008,2026-01-06 20:40:00,2026-01-06 20:45:00,2026-01-06 21:15:00,1,0.12189616252821671,0.0,0.03250564334085779,60.0,60.0,max_decision_and_execution_spread,False,2350.0,60.0,2290.0,True,,2026-01-06,13
V2D008,2026-01-06 22:35:00,2026-01-06 22:40:00,2026-01-06 23:10:00,1,0.42729970326409494,0.0,0.05697329376854599,60.0,60.0,max_decision_and_execution_spread,False,-325.0,60.0,-385.0,True,,2026-01-06,15
V2D008,2026-01-08 15:10:00,2026-01-08 15:15:00,2026-01-08 15:45:00,1,0.3545878693623639,0.0,0.0447900466562986,60.0,60.0,max_decision_and_execution_spread,False,1450.0,60.0,1390.0,True,,2026-01-08,8
V2D008,2026-01-08 19:45:00,2026-01-08 19:50:00,2026-01-08 20:20:00,1,0.1441213653603034,0.0,0.01820480404551201,60.0,60.0,max_decision_and_execution_spread,False,-2100.0,60.0,-2160.0,True,,2026-01-08,12
V2D008,2026-01-09 13:20:00,2026-01-09 13:25:00,2026-01-09 13:55:00,1,0.2877122877122877,0.0,0.057542457542457535,60.0,60.0,max_decision_and_execution_spread,False,825.0,60.0,765.0,True,,2026-01-09,6
V2D008,2026-01-13 03:30:00,2026-01-13 03:35:00,2026-01-13 04:05:00,-1,-0.38709677419354843,0.0,0.0663594470046083,60.0,60.0,max_decision_and_execution_spread,False,-2100.0,60.0,-2160.0,True,,2026-01-12,20
V2D008,2026-01-13 10:10:00,2026-01-13 10:15:00,2026-01-13 10:45:00,-1,-0.5574912891986062,0.0,0.06689895470383275,60.0,60.0,max_decision_and_execution_spread,False,-1350.0,60.0,-1410.0,True,,2026-01-13,3
V2D008,2026-01-13 13:30:00,2026-01-13 13:35:00,2026-01-13 14:05:00,-1,-0.29461756373937675,0.0,0.054390934844192634,60.0,60.0,max_decision_and_execution_spread,False,-2625.0,60.0,-2685.0,True,,2026-01-13,6
V2D008,2026-01-14 05:00:00,2026-01-14 05:05:00,2026-01-14 05:35:00,1,0.1914257228315055,0.0,0.057427716849451645,60.0,60.0,max_decision_and_execution_spread,False,1925.0,60.0,1865.0,True,,2026-01-13,22
V2D008,2026-01-14 15:20:00,2026-01-14 15:25:00,2026-01-14 15:55:00,1,0.3764705882352941,0.0,0.03764705882352941,60.0,60.0,max_decision_and_execution_spread,False,-3275.0,60.0,-3335.0,True,,2026-01-14,8
V2D008,2026-01-15 03:00:00,2026-01-15 03:05:00,2026-01-15 03:35:00,1,2.104384133611691,0.0,0.04008350730688935,60.0,60.0,max_decision_and_execution_spread,False,-6475.0,60.0,-6535.0,True,,2026-01-14,20
V2D008,2026-01-15 06:50:00,2026-01-15 06:55:00,2026-01-15 07:25:00,-1,-0.3881401617250674,0.0,0.05175202156334232,60.0,60.0,max_decision_and_execution_spread,False,-3825.0,60.0,-3885.0,True,,2026-01-14,23
V2D008,2026-01-15 10:05:00,2026-01-15 10:10:00,2026-01-15 10:40:00,1,0.8679678530424799,0.0,0.0330654420206659,60.0,60.0,max_decision_and_execution_spread,False,375.0,60.0,315.0,True,,2026-01-15,3
V2D008,2026-01-19 07:20:00,2026-01-19 07:25:00,2026-01-19 07:55:00,1,0.6620689655172414,0.0,0.0496551724137931,60.0,60.0,max_decision_and_execution_spread,False,-725.0,60.0,-785.0,True,,2026-01-19,0
V2D008,2026-01-20 13:20:00,2026-01-20 13:25:00,2026-01-20 13:55:00,1,0.08780487804878048,0.0,0.023414634146341463,60.0,60.0,max_decision_and_execution_spread,False,75.0,60.0,15.0,True,,2026-01-20,6
V2D008,2026-01-22 12:10:00,2026-01-22 12:15:00,2026-01-22 12:45:00,-1,-0.13106796116504854,0.0,0.034951456310679606,60.0,60.0,max_decision_and_execution_spread,False,-150.0,60.0,-210.0,True,,2026-01-22,5
V2D008,2026-01-22 19:30:00,2026-01-22 19:35:00,2026-01-22 20:05:00,1,0.1975736568457539,0.0,0.024956672443674173,60.0,60.0,max_decision_and_execution_spread,False,800.0,60.0,740.0,True,,2026-01-22,12
V2D008,2026-01-23 13:00:00,2026-01-23 13:05:00,2026-01-23 13:35:00,1,2.4662360540223136,0.0,0.03382266588373459,60.0,60.0,max_decision_and_execution_spread,False,3350.0,60.0,3290.0,True,,2026-01-23,6
V2D008,2026-01-23 21:20:00,2026-01-23 21:25:00,2026-01-23 21:55:00,1,0.06095348668456545,0.0,0.02089833829185101,60.0,60.0,max_decision_and_execution_spread,False,-2950.0,60.0,-3010.0,True,,2026-01-23,14
V2D008,2026-01-26 03:00:00,2026-01-26 03:05:00,2026-01-26 03:35:00,1,0.5108411851515486,0.0,0.016346917924849557,60.0,60.0,max_decision_and_execution_spread,False,350.0,60.0,290.0,True,,2026-01-25,20
V2D008,2026-01-26 04:40:00,2026-01-26 04:45:00,2026-01-26 05:15:00,-1,-0.52701460524972,0.0,0.029414768665100646,60.0,60.0,max_decision_and_execution_spread,False,-2550.0,60.0,-2610.0,True,,2026-01-25,21
V2D008,2026-01-26 06:25:00,2026-01-26 06:30:00,2026-01-26 07:00:00,1,0.32409381663113007,0.0,0.040938166311300636,60.0,60.0,max_decision_and_execution_spread,False,-1550.0,60.0,-1610.0,True,,2026-01-25,23
V2D008,2026-01-26 13:55:00,2026-01-26 14:00:00,2026-01-26 14:30:00,1,0.34608378870674184,0.0,0.04371584699453581,60.0,60.0,max_decision_and_execution_spread,False,2100.0,60.0,2040.0,True,,2026-01-26,7
V2D008,2026-01-26 18:25:00,2026-01-26 18:30:00,2026-01-26 19:00:00,1,0.22571020884680307,0.0,0.018679465559735424,60.0,60.0,max_decision_and_execution_spread,False,-25.0,60.0,-85.0,True,,2026-01-26,11
V2D008,2026-01-26 21:50:00,2026-01-26 21:55:00,2026-01-26 22:25:00,-1,-0.2612244897959184,0.0,0.03918367346938775,60.0,60.0,max_decision_and_execution_spread,False,400.0,60.0,340.0,True,,2026-01-26,14
V2D008,2026-01-27 13:30:00,2026-01-27 13:35:00,2026-01-27 14:05:00,1,1.5242195909580192,0.0,0.06200215285252959,60.0,60.0,max_decision_and_execution_spread,False,-700.0,60.0,-760.0,True,,2026-01-27,6
V2D008,2026-01-28 02:05:00,2026-01-28 02:10:00,2026-01-28 02:40:00,1,0.15218769816106578,0.0,0.06087507926442631,60.0,60.0,max_decision_and_execution_spread,False,4950.0,60.0,4890.0,True,,2026-01-27,19
V2D008,2026-01-29 03:20:00,2026-01-29 03:25:00,2026-01-29 03:55:00,-1,-0.5899116557423743,0.0,0.02051866628669128,60.0,60.0,max_decision_and_execution_spread,False,-1500.0,60.0,-1560.0,True,,2026-01-28,20
V2D008,2026-01-29 06:15:00,2026-01-29 06:20:00,2026-01-29 06:50:00,1,1.0253223551343724,0.0,0.04474133913313625,60.0,60.0,max_decision_and_execution_spread,False,625.0,60.0,565.0,True,,2026-01-28,23
V2D008,2026-01-29 22:35:00,2026-01-29 22:40:00,2026-01-29 23:10:00,1,1.1661039281890844,0.0,0.023717368030964425,60.0,60.0,max_decision_and_execution_spread,False,8575.0,60.0,8515.0,True,,2026-01-29,15
