fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124132,2024-02-01 06:20:00,2024-02-01 07:00:00,-1,0.181728,short|adverse_excursion_deep|anchor_reset_far|opening_reclaim_failed|day_range_underbuilt|short_recovery_active|reset_settlement_weak|range_reset_compressing|reset_volume_flat|prior_day_range_hot|session_pressure_mid|spread_high|early_session,17216.4,17209.09,17221.72,17209.09,5.91,9,target,10.3,5.15,1.4
rw_001,124250,2024-02-01 16:10:00,2024-02-01 16:10:00,1,0.14055,long|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_even|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|us_overlap,17228.7,17220.22,17220.22,17240.37,-9.88,1,stop,5.2,8.7,1.4
rw_001,124266,2024-02-01 17:30:00,2024-02-01 17:30:00,1,0.146058,long|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_even|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17264.25,17250.73,17250.73,17282.85,-13.79,1,stop,2.35,14.95,0.27
rw_001,124272,2024-02-01 18:00:00,2024-02-01 18:05:00,-1,0.237248,short|adverse_excursion_deep|anchor_reset_tight|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17169.0,17184.53,17184.53,17147.65,-15.53,2,stop,9.25,20.45,0.0
rw_001,124278,2024-02-01 18:30:00,2024-02-01 18:30:00,-1,0.204852,short|adverse_excursion_deep|anchor_reset_tight|opening_reclaim_mixed|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_even|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17176.5,17193.2,17193.2,17153.53,-17.2,1,stop,1.05,30.6,0.5
rw_001,124285,2024-02-01 19:05:00,2024-02-01 19:05:00,1,0.143732,long|adverse_excursion_mid|anchor_reset_far|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_even|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_mid|late_session,17248.8,17273.5,17230.83,17273.5,23.3,1,target,33.15,0.0,1.4
rw_001,124293,2024-02-01 19:45:00,2024-02-01 19:45:00,1,0.150033,long|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_mixed|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17241.45,17266.81,17223.01,17266.81,23.96,1,target,37.65,0.75,1.4
rw_001,124305,2024-02-01 20:45:00,2024-02-01 20:50:00,1,0.168411,long|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_underbuilt|short_recovery_active|reset_settlement_strong|range_reset_compressing|reset_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|late_session,17249.7,17277.72,17229.32,17277.72,28.02,2,target,30.6,0.5,0.0
rw_001,124475,2024-02-02 11:55:00,2024-02-02 11:55:00,1,0.152295,long|adverse_excursion_mid|anchor_reset_far|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_mixed|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|europe_morning,17513.25,17506.56,17506.56,17522.46,-8.09,1,stop,2.9,6.8,1.4
rw_001,124488,2024-02-02 13:00:00,2024-02-02 13:15:00,-1,0.085944,short|adverse_excursion_deep|anchor_reset_far|opening_reclaim_failed|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_even|reset_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|europe_morning,17512.05,17519.09,17519.09,17502.37,-8.44,4,stop,7.15,7.35,1.4
rw_001,124530,2024-02-02 16:30:00,2024-02-02 16:30:00,-1,0.327109,short|adverse_excursion_deep|anchor_reset_far|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_weak|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|us_overlap,17411.0,17422.08,17422.08,17395.76,-11.08,1,stop,42.25,12.6,0.0
rw_001,124542,2024-02-02 17:30:00,2024-02-02 17:30:00,-1,0.224293,short|adverse_excursion_mid|anchor_reset_tight|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17487.9,17464.82,17504.69,17464.82,23.08,1,target,36.4,4.5,0.0
rw_001,124553,2024-02-02 18:25:00,2024-02-02 18:30:00,1,0.229426,long|adverse_excursion_mid|anchor_reset_far|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17549.6,17578.83,17528.34,17578.83,29.23,2,target,39.4,8.25,0.0
rw_001,124560,2024-02-02 19:00:00,2024-02-02 19:25:00,1,0.207389,long|adverse_excursion_mid|anchor_reset_far|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_weak|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17606.05,17636.59,17583.84,17636.59,29.14,6,target,48.1,10.1,1.4
rw_001,124566,2024-02-02 19:30:00,2024-02-02 19:40:00,1,0.088702,long|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_mature|short_recovery_fast|reset_settlement_strong|range_reset_expanding|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17652.25,17629.24,17629.24,17683.89,-23.51,3,stop,6.8,76.3,0.5
rw_001,124580,2024-02-02 20:40:00,2024-02-02 21:00:00,1,0.155493,long|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_mature|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|late_session,17611.55,17642.38,17589.13,17642.38,30.26,5,target,42.05,4.3,0.57
rw_001,124680,2024-02-05 06:05:00,2024-02-05 06:55:00,1,0.153277,long|adverse_excursion_deep|anchor_reset_far|opening_reclaim_failed|day_range_underbuilt|short_recovery_fast|reset_settlement_mixed|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_low|spread_high|early_session,17588.25,17590.65,17581.82,17597.09,1.0,11,max_hold,2.5,3.9,1.4
rw_001,124758,2024-02-05 12:35:00,2024-02-05 13:05:00,1,0.12044,long|adverse_excursion_deep|anchor_reset_tight|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_high|europe_morning,17622.6,17616.12,17616.12,17631.5,-7.88,7,stop,6.6,7.9,1.4
rw_001,124769,2024-02-05 13:30:00,2024-02-05 13:30:00,-1,0.11083,short|adverse_excursion_mid|anchor_reset_tight|opening_reclaim_mixed|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_high|us_overlap,17618.8,17625.8,17625.8,17609.18,-8.35,1,stop,0.85,7.95,1.35
rw_001,124822,2024-02-05 17:55:00,2024-02-05 17:55:00,-1,0.159476,short|adverse_excursion_mid|anchor_reset_far|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_weak|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_mid|late_session,17487.45,17500.93,17500.93,17468.92,-14.88,1,stop,3.9,14.05,1.4
rw_001,124828,2024-02-05 18:25:00,2024-02-05 18:30:00,-1,0.248943,short|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_mid|late_session,17524.0,17538.24,17538.24,17504.42,-15.64,2,stop,9.5,23.9,1.4
rw_001,124840,2024-02-05 19:25:00,2024-02-05 19:35:00,1,0.180328,long|adverse_excursion_deep|anchor_reset_near|opening_reclaim_failed|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17591.65,17613.36,17575.86,17613.36,20.31,3,target,33.0,7.75,1.4
rw_001,124852,2024-02-05 20:25:00,2024-02-05 21:10:00,-1,0.139255,short|adverse_excursion_thin|anchor_reset_near|opening_reclaim_cleared|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_even|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17596.65,17613.48,17613.48,17573.51,-16.83,10,stop,13.9,18.7,0.0
rw_001,125057,2024-02-06 14:30:00,2024-02-06 14:35:00,1,0.152692,long|adverse_excursion_deep|anchor_reset_far|opening_reclaim_failed|day_range_underbuilt|short_recovery_active|reset_settlement_mixed|range_reset_compressing|reset_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|us_overlap,17583.45,17593.87,17575.87,17593.87,9.02,2,target,13.5,0.35,1.4
rw_001,125063,2024-02-06 15:00:00,2024-02-06 15:05:00,1,0.132913,long|adverse_excursion_deep|anchor_reset_tight|opening_reclaim_mixed|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_high|us_overlap,17611.95,17622.56,17604.23,17622.56,9.21,2,target,16.45,3.9,1.4
rw_001,125096,2024-02-06 17:45:00,2024-02-06 17:45:00,-1,0.203435,short|adverse_excursion_deep|anchor_reset_far|opening_reclaim_cleared|day_range_mature|short_recovery_fast|reset_settlement_mixed|range_reset_even|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17540.2,17553.05,17553.05,17522.53,-14.25,1,stop,11.05,14.45,1.4
rw_001,125102,2024-02-06 18:15:00,2024-02-06 18:15:00,-1,0.185579,short|adverse_excursion_mid|anchor_reset_far|opening_reclaim_cleared|day_range_mature|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17534.15,17548.18,17548.18,17514.86,-14.33,1,stop,3.6,17.65,0.3
rw_001,125108,2024-02-06 18:45:00,2024-02-06 18:45:00,-1,0.148685,short|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_mature|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_mid|late_session,17533.65,17513.18,17548.53,17513.18,20.22,1,target,41.0,0.75,0.25
rw_001,125118,2024-02-06 19:35:00,2024-02-06 19:40:00,-1,0.162241,short|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_mature|short_recovery_fast|reset_settlement_mixed|range_reset_even|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17499.0,17516.26,17516.26,17475.26,-17.26,2,stop,3.75,23.1,0.0
rw_001,125125,2024-02-06 20:10:00,2024-02-06 20:35:00,-1,0.177935,short|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_mature|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_mid|late_session,17514.7,17533.31,17533.31,17489.11,-20.01,6,stop,19.2,23.3,1.4
rw_001,125134,2024-02-06 20:55:00,2024-02-06 21:05:00,-1,0.117301,short|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_mature|short_recovery_active|reset_settlement_strong|range_reset_even|reset_volume_flat|prior_day_range_hot|session_pressure_high|spread_mid|late_session,17525.7,17501.17,17543.54,17501.17,23.13,3,target,39.95,13.4,1.4
rw_001,125242,2024-02-07 06:55:00,2024-02-07 07:30:00,-1,0.139734,short|adverse_excursion_deep|anchor_reset_near|opening_reclaim_failed|day_range_underbuilt|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_high|early_session,17572.85,17577.62,17577.62,17566.29,-6.17,8,stop,5.8,5.3,1.4
rw_001,125295,2024-02-07 11:20:00,2024-02-07 11:20:00,-1,0.133331,short|adverse_excursion_mid|anchor_reset_near|opening_reclaim_failed|day_range_underbuilt|short_recovery_active|reset_settlement_weak|range_reset_even|reset_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|europe_morning,17572.95,17577.91,17577.91,17566.13,-6.36,1,stop,0.0,12.45,1.4
rw_001,125369,2024-02-07 17:30:00,2024-02-07 17:30:00,1,0.222431,long|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_mature|short_recovery_fast|reset_settlement_strong|range_reset_even|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17777.65,17765.33,17765.33,17794.59,-12.32,1,stop,4.2,20.6,0.0
rw_001,125377,2024-02-07 18:10:00,2024-02-07 18:15:00,1,0.200388,long|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_mature|short_recovery_fast|reset_settlement_strong|range_reset_compressing|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17752.55,17738.15,17738.15,17772.36,-14.65,2,stop,13.1,14.6,0.25
rw_001,125383,2024-02-07 18:40:00,2024-02-07 18:50:00,1,0.169824,long|adverse_excursion_thin|anchor_reset_far|opening_reclaim_cleared|day_range_mature|short_recovery_fast|reset_settlement_strong|range_reset_even|reset_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17729.7,17751.21,17714.06,17751.21,20.16,3,target,25.1,8.0,1.35
