fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124144,2024-02-01 07:20:00,2024-02-01 07:30:00,-1,0.110927,short|extreme_retest_defined|adverse_absorption_heavy|failed_breakout_recovery_wide|counter_body_mixed|close_reclaim_mixed|compressed|volume_flat|opposite_room_wide|opening_context_against|prior_contrast_against|session_phase_early|spread_high|early_session,17208.35,17201.82,17213.1,17201.82,5.13,3,target,6.75,0.0,1.4
rw_001,124176,2024-02-01 10:00:00,2024-02-01 10:00:00,-1,0.086935,short|extreme_retest_defined|adverse_absorption_heavy|failed_breakout_recovery_defined|counter_body_absent|close_reclaim_mixed|compressed|volume_still_expanding|opposite_room_wide|opening_context_against|prior_contrast_against|session_phase_early|spread_high|europe_morning,17211.35,17217.19,17217.19,17203.32,-7.24,1,stop,2.1,14.25,1.4
rw_001,124187,2024-02-01 10:55:00,2024-02-01 11:00:00,-1,0.196468,short|extreme_retest_pin|adverse_absorption_heavy|failed_breakout_recovery_wide|counter_body_mixed|close_reclaim_strong|compressed|volume_flat|opposite_room_wide|opening_context_against|prior_contrast_against|session_phase_early|spread_high|europe_morning,17241.3,17248.78,17248.78,17231.01,-8.88,2,stop,11.0,9.9,1.4
rw_001,124197,2024-02-01 11:45:00,2024-02-01 11:45:00,-1,0.194276,short|extreme_retest_defined|adverse_absorption_defined|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_exhausting|opposite_room_wide|opening_context_against|prior_contrast_against|session_phase_core|spread_high|europe_morning,17222.25,17230.66,17230.66,17210.69,-9.81,1,stop,0.0,11.5,1.4
rw_001,124204,2024-02-01 12:20:00,2024-02-01 12:40:00,-1,0.324431,short|extreme_retest_defined|adverse_absorption_thin|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_exhausting|opposite_room_wide|opening_context_against|prior_contrast_against|session_phase_core|spread_high|europe_morning,17234.85,17243.79,17243.79,17222.56,-10.34,5,stop,0.15,9.9,1.4
rw_001,124210,2024-02-01 12:50:00,2024-02-01 13:00:00,-1,0.3635,short|extreme_retest_pin|adverse_absorption_heavy|failed_breakout_recovery_defined|counter_body_absent|close_reclaim_strong|compressed|volume_exhausting|opposite_room_wide|opening_context_against|prior_contrast_against|session_phase_core|spread_high|europe_morning,17243.9,17252.51,17252.51,17232.06,-10.01,3,stop,2.15,9.55,1.4
rw_001,124217,2024-02-01 13:25:00,2024-02-01 14:05:00,-1,0.158912,short|extreme_retest_pin|adverse_absorption_thin|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_exhausting|opposite_room_wide|opening_context_against|prior_contrast_against|session_phase_core|spread_high|us_overlap,17231.0,17239.03,17239.03,17219.96,-9.43,9,stop,9.55,18.65,1.4
rw_001,124234,2024-02-01 14:50:00,2024-02-01 15:00:00,-1,0.120905,short|extreme_retest_pin|adverse_absorption_defined|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_flat|opposite_room_wide|opening_context_against|prior_contrast_against|session_phase_core|spread_high|us_overlap,17249.1,17239.32,17256.21,17239.32,8.38,3,target,22.3,5.75,1.4
rw_001,124454,2024-02-02 10:10:00,2024-02-02 10:10:00,1,-0.019284,long|extreme_retest_defined|adverse_absorption_defined|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_still_expanding|opposite_room_wide|opening_context_reclaimed|prior_contrast_against|session_phase_early|spread_high|europe_morning,17492.65,17487.99,17487.99,17499.06,-6.06,1,stop,1.15,8.7,1.4
rw_001,124462,2024-02-02 10:50:00,2024-02-02 10:50:00,1,-0.126033,long|extreme_retest_pin|adverse_absorption_heavy|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_flat|opposite_room_open|opening_context_reclaimed|prior_contrast_against|session_phase_early|spread_high|europe_morning,17521.4,17528.95,17515.91,17528.95,6.15,1,target,9.1,1.1,1.4
rw_001,124468,2024-02-02 11:20:00,2024-02-02 11:20:00,-1,0.074074,short|extreme_retest_pin|adverse_absorption_heavy|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_still_expanding|opposite_room_wide|opening_context_against|prior_contrast_supportive|session_phase_core|spread_high|europe_morning,17526.65,17518.02,17532.92,17518.02,7.23,1,target,9.9,0.45,1.4
rw_001,124488,2024-02-02 13:00:00,2024-02-02 13:15:00,-1,0.246578,short|extreme_retest_light|adverse_absorption_thin|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_exhausting|opposite_room_open|opening_context_neutral|prior_contrast_supportive|session_phase_core|spread_low|europe_morning,17512.05,17519.09,17519.09,17502.37,-8.44,4,stop,7.15,7.35,1.4
rw_001,124507,2024-02-02 14:35:00,2024-02-02 14:50:00,-1,0.064901,short|extreme_retest_pin|adverse_absorption_defined|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_still_expanding|opposite_room_wide|opening_context_against|prior_contrast_supportive|session_phase_core|spread_high|us_overlap,17537.6,17528.07,17544.53,17528.07,8.13,4,target,16.1,4.65,1.4
rw_001,124514,2024-02-02 15:10:00,2024-02-02 15:20:00,-1,-0.006858,short|extreme_retest_defined|adverse_absorption_defined|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_still_expanding|opposite_room_wide|opening_context_against|prior_contrast_supportive|session_phase_core|spread_high|us_overlap,17527.4,17518.13,17534.14,17518.13,7.87,3,target,13.5,1.95,1.4
rw_001,124530,2024-02-02 16:30:00,2024-02-02 16:30:00,1,0.139738,long|extreme_retest_pin|adverse_absorption_thin|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_still_expanding|opposite_room_wide|opening_context_against|prior_contrast_against|session_phase_core|spread_low|us_overlap,17411.0,17399.92,17399.92,17426.24,-11.08,1,stop,12.6,42.25,0.0
rw_001,124540,2024-02-02 17:20:00,2024-02-02 17:20:00,-1,0.09278,short|extreme_retest_light|adverse_absorption_heavy|failed_breakout_recovery_wide|counter_body_absent|close_reclaim_strong|compressed|volume_still_expanding|opposite_room_wide|opening_context_reclaimed|prior_contrast_supportive|session_phase_late|spread_low|late_session,17495.2,17511.17,17511.17,17473.24,-15.97,1,stop,6.2,27.3,0.0
rw_001,124741,2024-02-05 11:10:00,2024-02-05 11:10:00,-1,0.075414,short|extreme_retest_pin|adverse_absorption_heavy|failed_breakout_recovery_wide|counter_body_mixed|close_reclaim_strong|compressed|volume_still_expanding|opposite_room_wide|opening_context_reclaimed|prior_contrast_supportive|session_phase_core|spread_high|europe_morning,17619.8,17625.42,17625.42,17612.07,-7.02,1,stop,1.05,8.4,1.4
rw_001,124747,2024-02-05 11:40:00,2024-02-05 11:45:00,-1,-0.013852,short|extreme_retest_defined|adverse_absorption_defined|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_flat|opposite_room_open|opening_context_reclaimed|prior_contrast_supportive|session_phase_core|spread_high|europe_morning,17599.65,17591.57,17605.53,17591.57,6.68,2,target,8.4,5.1,1.4
rw_001,124760,2024-02-05 12:45:00,2024-02-05 12:50:00,-1,0.177182,short|extreme_retest_defined|adverse_absorption_thin|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_exhausting|opposite_room_wide|opening_context_reclaimed|prior_contrast_supportive|session_phase_core|spread_high|europe_morning,17619.65,17626.35,17626.35,17610.43,-8.1,2,stop,3.4,9.55,1.4
rw_001,124768,2024-02-05 13:25:00,2024-02-05 13:45:00,-1,0.19971,short|extreme_retest_defined|adverse_absorption_heavy|failed_breakout_recovery_defined|counter_body_absent|close_reclaim_mixed|compressed|volume_exhausting|opposite_room_wide|opening_context_reclaimed|prior_contrast_supportive|session_phase_core|spread_high|us_overlap,17624.85,17615.27,17631.82,17615.27,8.23,5,target,13.2,2.1,1.35
rw_001,124774,2024-02-05 13:55:00,2024-02-05 13:55:00,-1,0.066724,short|extreme_retest_defined|adverse_absorption_thin|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_flat|opposite_room_wide|opening_context_reclaimed|prior_contrast_supportive|session_phase_core|spread_high|us_overlap,17609.5,17616.47,17616.47,17599.92,-8.37,1,stop,2.35,7.2,1.4
rw_001,124780,2024-02-05 14:25:00,2024-02-05 14:25:00,-1,0.022014,short|extreme_retest_pin|adverse_absorption_heavy|failed_breakout_recovery_wide|counter_body_absent|close_reclaim_strong|compressed|volume_still_expanding|opposite_room_wide|opening_context_against|prior_contrast_supportive|session_phase_core|spread_high|us_overlap,17633.85,17624.26,17640.82,17624.26,8.19,1,target,11.25,0.35,1.4
rw_001,124788,2024-02-05 15:05:00,2024-02-05 15:20:00,-1,0.115417,short|extreme_retest_pin|adverse_absorption_heavy|failed_breakout_recovery_wide|counter_body_mixed|close_reclaim_strong|compressed|volume_flat|opposite_room_wide|opening_context_against|prior_contrast_supportive|session_phase_core|spread_high|us_overlap,17635.85,17626.39,17642.73,17626.39,8.06,4,target,20.65,2.35,1.4
rw_001,124816,2024-02-05 17:25:00,2024-02-05 17:30:00,1,-0.034996,long|extreme_retest_pin|adverse_absorption_heavy|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_still_expanding|opposite_room_wide|opening_context_against|prior_contrast_against|session_phase_late|spread_low|late_session,17528.95,17517.58,17517.58,17544.58,-11.62,2,stop,12.4,17.1,0.25
rw_001,124998,2024-02-06 09:35:00,2024-02-06 09:35:00,-1,-0.01011,short|extreme_retest_pin|adverse_absorption_heavy|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_still_expanding|opposite_room_wide|opening_context_against|prior_contrast_neutral|session_phase_early|spread_high|europe_morning,17663.2,17666.99,17666.99,17658.0,-5.19,1,stop,0.55,5.9,1.4
rw_001,125007,2024-02-06 10:20:00,2024-02-06 10:20:00,-1,0.107239,short|extreme_retest_pin|adverse_absorption_thin|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_mixed|compressed|volume_still_expanding|opposite_room_wide|opening_context_against|prior_contrast_neutral|session_phase_early|spread_low|europe_morning,17662.55,17666.78,17666.78,17656.74,-5.63,1,stop,0.05,12.35,1.4
rw_001,125015,2024-02-06 11:00:00,2024-02-06 11:00:00,-1,0.027666,short|extreme_retest_defined|adverse_absorption_defined|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_flat|opposite_room_wide|opening_context_against|prior_contrast_neutral|session_phase_early|spread_high|europe_morning,17650.75,17655.79,17655.79,17643.82,-6.44,1,stop,3.1,7.45,1.4
rw_001,125049,2024-02-06 13:50:00,2024-02-06 13:50:00,1,0.075925,long|extreme_retest_pin|adverse_absorption_defined|failed_breakout_recovery_wide|counter_body_turning|close_reclaim_strong|compressed|volume_still_expanding|opposite_room_wide|opening_context_against|prior_contrast_neutral|session_phase_core|spread_low|us_overlap,17590.75,17600.74,17583.48,17600.74,8.59,1,target,11.4,0.35,1.4
