fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124194,2024-02-01 11:30:00,2024-02-01 11:30:00,-1,0.137213,short|zigzag_density_defined|coil_compressed|release_body_aligned|close_drive_strong|release_range_thin|volume_confirmation_mixed|path_tortuosity_high|prior_energy_quiet|session_release_defined|spread_high|europe_morning,17229.95,17238.21,17238.21,17218.59,-9.66,1,stop,0.05,8.95,1.4
rw_001,124200,2024-02-01 12:00:00,2024-02-01 12:00:00,-1,0.145555,short|zigzag_density_defined|coil_compressed|release_body_aligned|close_drive_strong|release_range_thin|volume_confirmation_against|path_tortuosity_high|prior_energy_quiet|session_release_defined|spread_high|europe_morning,17226.8,17235.4,17235.4,17214.97,-10.0,1,stop,4.55,10.1,1.4
rw_001,124209,2024-02-01 12:45:00,2024-02-01 13:10:00,1,0.137139,long|zigzag_density_dense|coil_compressed|release_body_aligned|close_drive_strong|release_range_thin|volume_confirmation_mixed|path_tortuosity_high|prior_energy_quiet|session_release_defined|spread_high|europe_morning,17243.45,17234.62,17234.62,17255.59,-10.23,6,stop,10.0,12.1,1.4
rw_001,124270,2024-02-01 17:50:00,2024-02-01 17:50:00,-1,0.117391,short|zigzag_density_defined|coil_compressed|release_body_aligned|close_drive_strong|release_range_defined|volume_confirmation_mixed|path_tortuosity_high|prior_energy_quiet|session_release_defined|spread_low|late_session,17230.75,17210.67,17245.35,17210.67,18.73,1,target,49.3,2.35,1.35
rw_001,124279,2024-02-01 18:35:00,2024-02-01 18:50:00,1,0.130374,long|zigzag_density_defined|coil_compressed|release_body_aligned|close_drive_strong|release_range_defined|volume_confirmation_mixed|path_tortuosity_high|prior_energy_quiet|session_release_heavy|spread_low|late_session,17206.4,17229.67,17189.48,17229.67,21.87,4,target,23.7,12.95,1.4
rw_001,124292,2024-02-01 19:40:00,2024-02-01 19:45:00,-1,0.170697,short|zigzag_density_defined|coil_compressed|release_body_mixed|close_drive_strong|release_range_thin|volume_confirmation_mixed|path_tortuosity_high|prior_energy_quiet|session_release_defined|spread_low|late_session,17238.55,17257.34,17257.34,17212.71,-19.94,2,stop,5.6,40.55,1.15
rw_001,124300,2024-02-01 20:20:00,2024-02-01 20:30:00,1,0.140085,long|zigzag_density_defined|coil_compressed|release_body_mixed|close_drive_strong|release_range_thin|volume_confirmation_mixed|path_tortuosity_high|prior_energy_quiet|session_release_defined|spread_low|late_session,17268.25,17296.04,17248.04,17296.04,26.39,3,target,28.75,10.7,1.4
rw_001,124306,2024-02-01 20:50:00,2024-02-01 21:05:00,1,0.165961,long|zigzag_density_defined|coil_compressed|release_body_aligned|close_drive_strong|release_range_defined|volume_confirmation_mixed|path_tortuosity_high|prior_energy_quiet|session_release_heavy|spread_low|late_session,17270.5,17298.23,17250.34,17298.23,27.38,4,target,29.95,5.7,0.35
rw_001,124530,2024-02-02 16:30:00,2024-02-02 16:30:00,1,0.12137,long|zigzag_density_defined|coil_compressed|release_body_aligned|close_drive_strong|release_range_defined|volume_confirmation_mixed|path_tortuosity_high|prior_energy_balanced|session_release_defined|spread_low|us_overlap,17411.0,17399.92,17399.92,17426.24,-11.08,1,stop,12.6,42.25,0.0
rw_001,124541,2024-02-02 17:25:00,2024-02-02 17:25:00,1,0.117585,long|zigzag_density_defined|coil_compressed|release_body_aligned|close_drive_strong|release_range_defined|volume_confirmation_mixed|path_tortuosity_high|prior_energy_quiet|session_release_defined|spread_low|late_session,17517.55,17501.2,17501.2,17540.03,-16.35,1,stop,6.95,36.85,0.0
rw_001,124547,2024-02-02 17:55:00,2024-02-02 18:00:00,-1,0.111071,short|zigzag_density_defined|coil_compressed|release_body_mixed|close_drive_mid|release_range_defined|volume_confirmation_mixed|path_tortuosity_high|prior_energy_quiet|session_release_defined|spread_low|late_session,17547.8,17520.96,17567.32,17520.96,26.84,2,target,38.15,18.2,0.0
rw_001,124553,2024-02-02 18:25:00,2024-02-02 18:30:00,1,0.21087,long|zigzag_density_defined|coil_compressed|release_body_mixed|close_drive_strong|release_range_thin|volume_confirmation_mixed|path_tortuosity_high|prior_energy_quiet|session_release_defined|spread_low|late_session,17549.6,17578.83,17528.34,17578.83,29.23,2,target,39.4,8.25,0.0
rw_001,124562,2024-02-02 19:10:00,2024-02-02 19:20:00,-1,0.217137,short|zigzag_density_defined|coil_compressed|release_body_aligned|close_drive_strong|release_range_thin|volume_confirmation_mixed|path_tortuosity_mixed|prior_energy_quiet|session_release_heavy|spread_low|late_session,17603.4,17625.73,17625.73,17572.7,-23.73,3,stop,7.45,23.4,1.4
rw_001,124568,2024-02-02 19:40:00,2024-02-02 19:40:00,1,0.204703,long|zigzag_density_defined|coil_compressed|release_body_aligned|close_drive_strong|release_range_thin|volume_confirmation_mixed|path_tortuosity_mixed|prior_energy_quiet|session_release_heavy|spread_low|late_session,17657.1,17635.13,17635.13,17687.31,-21.97,1,stop,1.65,81.15,0.0
rw_001,124575,2024-02-02 20:15:00,2024-02-02 20:25:00,1,0.152162,long|zigzag_density_dense|coil_compressed|release_body_aligned|close_drive_strong|release_range_defined|volume_confirmation_mixed|path_tortuosity_high|prior_energy_quiet|session_release_heavy|spread_low|late_session,17630.6,17608.27,17608.27,17661.31,-22.48,3,stop,11.7,37.15,0.15
rw_001,124581,2024-02-02 20:45:00,2024-02-02 21:00:00,1,0.174633,long|zigzag_density_dense|coil_compressed|release_body_aligned|close_drive_strong|release_range_thin|volume_confirmation_mixed|path_tortuosity_high|prior_energy_quiet|session_release_heavy|spread_low|late_session,17621.5,17652.07,17599.27,17652.07,30.27,4,target,32.1,10.6,0.3
rw_001,124767,2024-02-05 13:20:00,2024-02-05 13:25:00,1,0.089147,long|zigzag_density_defined|coil_compressed|release_body_aligned|close_drive_strong|release_range_defined|volume_confirmation_mixed|path_tortuosity_high|prior_energy_balanced|session_release_defined|spread_high|us_overlap,17624.95,17617.99,17617.99,17634.52,-8.36,2,stop,2.95,7.25,1.4
rw_001,124773,2024-02-05 13:50:00,2024-02-05 13:50:00,1,0.112809,long|zigzag_density_defined|coil_compressed|release_body_mixed|close_drive_strong|release_range_defined|volume_confirmation_mixed|path_tortuosity_high|prior_energy_balanced|session_release_defined|spread_low|us_overlap,17617.05,17610.02,17610.02,17626.71,-8.43,1,stop,0.75,8.1,1.4
rw_001,124827,2024-02-05 18:20:00,2024-02-05 18:25:00,1,0.147878,long|zigzag_density_defined|coil_compressed|release_body_aligned|close_drive_strong|release_range_defined|volume_confirmation_mixed|path_tortuosity_high|prior_energy_quiet|session_release_defined|spread_mid|late_session,17531.85,17517.74,17517.74,17551.26,-15.51,2,stop,6.55,17.35,1.4
