fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124250,2024-02-01 16:10:00,2024-02-01 16:10:00,1,0.153637,long|third_boundary_reclaimed|boundary_probe_defined|third_reclaim_mixed|third_range_extended|boundary_wick_absorbing|third_close_strong|transition_impulse_with|volume_reengagement_absent|prior_day_range_quiet|session_transition_defined|spread_low|us_overlap,17228.7,17220.22,17220.22,17240.37,-9.88,1,stop,5.2,8.7,1.4
rw_001,124260,2024-02-01 17:00:00,2024-02-01 17:00:00,1,0.212064,long|third_boundary_inside|boundary_probe_deep|third_reclaim_failed|third_range_extended|boundary_wick_absorbing|third_close_mid|transition_impulse_against|volume_reengagement_absent|prior_day_range_quiet|session_transition_heavy|spread_low|us_overlap,17176.5,17191.85,17165.34,17191.85,13.95,1,target,38.1,10.5,1.4
rw_001,124270,2024-02-01 17:50:00,2024-02-01 17:50:00,-1,0.21994,short|third_boundary_inside|boundary_probe_deep|third_reclaim_mixed|third_range_extended|boundary_wick_mixed|third_close_strong|transition_impulse_with|volume_reengagement_absent|prior_day_range_quiet|session_transition_heavy|spread_low|late_session,17230.75,17210.67,17245.35,17210.67,18.73,1,target,49.3,2.35,1.35
rw_001,124276,2024-02-01 18:20:00,2024-02-01 18:20:00,-1,0.227015,short|third_boundary_extended|boundary_probe_deep|third_reclaim_clear|third_range_extended|boundary_wick_absorbing|third_close_strong|transition_impulse_mixed|volume_reengagement_absent|prior_day_range_quiet|session_transition_heavy|spread_low|late_session,17176.45,17192.71,17192.71,17154.09,-17.66,1,stop,5.3,18.2,1.4
rw_001,124282,2024-02-01 18:50:00,2024-02-01 19:00:00,1,0.253394,long|third_boundary_reclaimed|boundary_probe_deep|third_reclaim_clear|third_range_defined|boundary_wick_absorbing|third_close_mid|transition_impulse_mixed|volume_reengagement_absent|prior_day_range_quiet|session_transition_heavy|spread_low|late_session,17213.75,17238.15,17196.01,17238.15,23.8,3,target,41.15,0.65,0.6
rw_001,124291,2024-02-01 19:35:00,2024-02-01 19:45:00,1,0.255403,long|third_boundary_inside|boundary_probe_deep|third_reclaim_failed|third_range_extended|boundary_wick_absorbing|third_close_mid|transition_impulse_mixed|volume_reengagement_absent|prior_day_range_quiet|session_transition_defined|spread_low|late_session,17239.0,17265.08,17220.03,17265.08,25.71,3,target,40.1,6.05,0.37
rw_001,124300,2024-02-01 20:20:00,2024-02-01 20:30:00,1,0.251047,long|third_boundary_reclaimed|boundary_probe_deep|third_reclaim_clear|third_range_extended|boundary_wick_absorbing|third_close_strong|transition_impulse_mixed|volume_reengagement_absent|prior_day_range_quiet|session_transition_defined|spread_low|late_session,17268.25,17296.04,17248.04,17296.04,26.39,3,target,28.75,10.7,1.4
rw_001,124306,2024-02-01 20:50:00,2024-02-01 21:05:00,1,0.240773,long|third_boundary_reclaimed|boundary_probe_defined|third_reclaim_clear|third_range_extended|boundary_wick_against|third_close_strong|transition_impulse_with|volume_reengagement_absent|prior_day_range_quiet|session_transition_heavy|spread_low|late_session,17270.5,17298.23,17250.34,17298.23,27.38,4,target,29.95,5.7,0.35
rw_001,124475,2024-02-02 11:55:00,2024-02-02 11:55:00,1,0.148628,long|third_boundary_inside|boundary_probe_deep|third_reclaim_failed|third_range_extended|boundary_wick_absorbing|third_close_mid|transition_impulse_against|volume_reengagement_absent|prior_day_range_normal|session_transition_defined|spread_low|europe_morning,17513.25,17506.56,17506.56,17522.46,-8.09,1,stop,2.9,6.8,1.4
rw_001,124489,2024-02-02 13:05:00,2024-02-02 13:30:00,1,0.130102,long|third_boundary_inside|boundary_probe_deep|third_reclaim_failed|third_range_extended|boundary_wick_absorbing|third_close_strong|transition_impulse_against|volume_reengagement_absent|prior_day_range_normal|session_transition_defined|spread_high|us_overlap,17510.5,17520.26,17503.4,17520.26,8.36,6,target,10.35,4.15,1.4
rw_001,124500,2024-02-02 14:00:00,2024-02-02 14:05:00,1,0.111349,long|third_boundary_reclaimed|boundary_probe_deep|third_reclaim_mixed|third_range_extended|boundary_wick_absorbing|third_close_strong|transition_impulse_mixed|volume_reengagement_absent|prior_day_range_normal|session_transition_defined|spread_high|us_overlap,17522.55,17515.6,17515.6,17532.11,-8.35,2,stop,1.15,15.2,1.4
rw_001,124534,2024-02-02 16:50:00,2024-02-02 16:50:00,-1,0.130846,short|third_boundary_inside|boundary_probe_deep|third_reclaim_failed|third_range_extended|boundary_wick_absorbing|third_close_strong|transition_impulse_against|volume_reengagement_absent|prior_day_range_quiet|session_transition_heavy|spread_low|us_overlap,17488.4,17470.46,17501.45,17470.46,17.11,1,target,28.5,1.9,0.83
rw_001,124543,2024-02-02 17:35:00,2024-02-02 17:35:00,1,0.224916,long|third_boundary_inside|boundary_probe_deep|third_reclaim_mixed|third_range_extended|boundary_wick_absorbing|third_close_strong|transition_impulse_mixed|volume_reengagement_absent|prior_day_range_quiet|session_transition_defined|spread_low|late_session,17488.95,17512.89,17471.54,17512.89,23.94,1,target,32.75,12.25,0.0
rw_001,124552,2024-02-02 18:20:00,2024-02-02 18:25:00,-1,0.165514,short|third_boundary_inside|boundary_probe_deep|third_reclaim_failed|third_range_extended|boundary_wick_absorbing|third_close_strong|transition_impulse_mixed|volume_reengagement_absent|prior_day_range_quiet|session_transition_heavy|spread_low|late_session,17547.5,17568.67,17568.67,17518.4,-21.42,2,stop,12.5,28.2,0.25
rw_001,124562,2024-02-02 19:10:00,2024-02-02 19:20:00,-1,0.17712,short|third_boundary_inside|boundary_probe_deep|third_reclaim_failed|third_range_extended|boundary_wick_absorbing|third_close_strong|transition_impulse_mixed|volume_reengagement_absent|prior_day_range_quiet|session_transition_heavy|spread_low|late_session,17603.4,17625.73,17625.73,17572.7,-23.73,3,stop,7.45,23.4,1.4
rw_001,124579,2024-02-02 20:35:00,2024-02-02 20:45:00,-1,0.110036,short|third_boundary_inside|boundary_probe_deep|third_reclaim_failed|third_range_extended|boundary_wick_against|third_close_mid|transition_impulse_mixed|volume_reengagement_defined|prior_day_range_quiet|session_transition_heavy|spread_low|late_session,17603.9,17626.9,17626.9,17572.28,-23.55,3,stop,20.4,28.95,0.55
rw_001,124764,2024-02-05 13:05:00,2024-02-05 13:45:00,1,0.083803,long|third_boundary_reclaimed|boundary_probe_defined|third_reclaim_clear|third_range_extended|boundary_wick_absorbing|third_close_weak|transition_impulse_against|volume_reengagement_absent|prior_day_range_quiet|session_transition_defined|spread_high|us_overlap,17619.45,17612.57,17612.57,17628.91,-8.28,9,stop,8.45,7.8,1.4
rw_001,124776,2024-02-05 14:05:00,2024-02-05 14:05:00,1,0.095799,long|third_boundary_reclaimed|boundary_probe_defined|third_reclaim_mixed|third_range_extended|boundary_wick_absorbing|third_close_strong|transition_impulse_mixed|volume_reengagement_defined|prior_day_range_quiet|session_transition_defined|spread_high|us_overlap,17614.2,17623.7,17607.29,17623.7,8.1,1,target,9.85,3.6,1.4
rw_001,124810,2024-02-05 16:55:00,2024-02-05 16:55:00,1,0.179709,long|third_boundary_inside|boundary_probe_deep|third_reclaim_failed|third_range_extended|boundary_wick_absorbing|third_close_mid|transition_impulse_against|volume_reengagement_absent|prior_day_range_quiet|session_transition_heavy|spread_low|us_overlap,17594.6,17606.57,17585.9,17606.57,10.57,1,target,18.2,0.15,1.4
rw_001,124828,2024-02-05 18:25:00,2024-02-05 18:30:00,-1,0.114158,short|third_boundary_inside|boundary_probe_defined|third_reclaim_failed|third_range_extended|boundary_wick_mixed|third_close_strong|transition_impulse_mixed|volume_reengagement_absent|prior_day_range_quiet|session_transition_defined|spread_mid|late_session,17524.0,17538.24,17538.24,17504.42,-15.64,2,stop,9.5,23.9,1.4
