fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124173,2024-02-01 09:45:00,2024-02-01 09:45:00,1,0.304122,long|short_volume_pressure_with|medium_volume_pressure_mixed|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_hot|session_pressure_high|spread_low|europe_morning,17209.65,17203.97,17203.97,17217.46,-7.08,1,stop,0.25,9.4,1.4
rw_001,124182,2024-02-01 10:30:00,2024-02-01 10:30:00,1,0.235809,long|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_normal|session_pressure_high|spread_high|europe_morning,17244.75,17237.86,17237.86,17254.22,-8.29,1,stop,0.6,10.45,1.4
rw_001,124239,2024-02-01 15:15:00,2024-02-01 15:15:00,-1,0.245291,short|short_volume_pressure_with|medium_volume_pressure_mixed|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_hot|session_pressure_high|spread_low|us_overlap,17212.5,17202.94,17219.45,17202.94,8.91,1,target,14.45,1.9,0.65
rw_001,124262,2024-02-01 17:10:00,2024-02-01 17:10:00,1,0.322054,long|short_volume_pressure_with|medium_volume_pressure_mixed|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_decaying|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17248.7,17236.49,17236.49,17265.49,-12.34,1,stop,4.7,18.7,0.13
rw_001,124272,2024-02-01 18:00:00,2024-02-01 18:05:00,-1,0.349821,short|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17169.0,17184.53,17184.53,17147.65,-15.53,2,stop,9.25,20.45,0.0
rw_001,124279,2024-02-01 18:35:00,2024-02-01 18:50:00,1,0.234139,long|short_volume_pressure_with|medium_volume_pressure_mixed|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17206.4,17229.67,17189.48,17229.67,21.87,4,target,23.7,12.95,1.4
rw_001,124292,2024-02-01 19:40:00,2024-02-01 19:45:00,-1,0.230367,short|short_volume_pressure_with|medium_volume_pressure_against|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17238.55,17257.34,17257.34,17212.71,-19.94,2,stop,5.6,40.55,1.15
rw_001,124303,2024-02-01 20:35:00,2024-02-01 20:35:00,1,0.241654,long|short_volume_pressure_with|medium_volume_pressure_mixed|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_decaying|volume_acceleration_flat|close_location_mixed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17285.85,17265.8,17265.8,17313.42,-20.15,1,stop,5.25,49.2,0.1
rw_001,124461,2024-02-02 10:45:00,2024-02-02 10:50:00,1,0.229659,long|short_volume_pressure_with|medium_volume_pressure_mixed|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_hot|session_pressure_high|spread_high|europe_morning,17521.3,17528.72,17515.9,17528.72,6.02,2,target,9.2,4.3,1.4
rw_001,124527,2024-02-02 16:15:00,2024-02-02 16:20:00,-1,0.324359,short|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_falling|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_mid|us_overlap,17409.45,17394.88,17420.04,17394.88,13.17,2,target,19.8,9.0,1.4
rw_001,124537,2024-02-02 17:05:00,2024-02-02 17:05:00,1,0.289706,long|short_volume_pressure_with|medium_volume_pressure_mixed|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_unconfirmed|prior_day_volume_quiet|session_pressure_high|spread_mid|late_session,17488.65,17473.93,17473.93,17508.89,-15.72,1,stop,14.1,21.9,1.0
rw_001,124544,2024-02-02 17:40:00,2024-02-02 17:40:00,1,0.335586,long|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17519.8,17544.52,17501.82,17544.52,24.72,1,target,40.75,0.3,0.0
rw_001,124558,2024-02-02 18:50:00,2024-02-02 19:25:00,1,0.322032,long|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17605.75,17636.13,17583.66,17636.13,28.98,8,target,48.4,9.8,1.4
rw_001,124566,2024-02-02 19:30:00,2024-02-02 19:40:00,1,0.244637,long|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17652.25,17629.24,17629.24,17683.89,-23.51,3,stop,6.8,76.3,0.5
rw_001,124576,2024-02-02 20:20:00,2024-02-02 20:25:00,1,0.318264,long|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_falling|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17638.75,17616.27,17616.27,17669.66,-23.88,2,stop,2.9,45.3,1.4
rw_001,124584,2024-02-02 21:00:00,2024-02-02 21:10:00,1,0.238534,long|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_falling|close_location_confirmed|prior_day_volume_quiet|session_pressure_mid|spread_low|late_session,17632.05,17661.33,17610.75,17661.33,27.93,3,target,33.85,1.7,1.35
rw_001,124756,2024-02-05 12:25:00,2024-02-05 12:30:00,1,0.198406,long|short_volume_pressure_mixed|medium_volume_pressure_mixed|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_hot|session_pressure_high|spread_high|europe_morning,17610.35,17619.25,17603.88,17619.25,7.5,2,target,12.75,3.8,1.4
rw_001,124805,2024-02-05 16:30:00,2024-02-05 16:30:00,1,0.167309,long|short_volume_pressure_with|medium_volume_pressure_mixed|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_hot|session_pressure_high|spread_mid|us_overlap,17627.85,17620.85,17620.85,17637.48,-7.25,1,stop,14.2,14.95,0.25
rw_001,124813,2024-02-05 17:10:00,2024-02-05 17:10:00,-1,0.304412,short|short_volume_pressure_with|medium_volume_pressure_mixed|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_mixed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17567.1,17576.84,17576.84,17553.7,-10.04,1,stop,15.85,12.85,0.3
rw_001,124819,2024-02-05 17:40:00,2024-02-05 17:40:00,-1,0.347488,short|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17506.1,17489.32,17518.3,17489.32,16.78,1,target,45.35,0.8,0.0
rw_001,124826,2024-02-05 18:15:00,2024-02-05 18:30:00,1,0.295437,long|short_volume_pressure_with|medium_volume_pressure_against|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_falling|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_mid|late_session,17523.45,17542.78,17509.39,17542.78,17.93,4,target,24.45,8.95,1.4
rw_001,124838,2024-02-05 19:15:00,2024-02-05 19:30:00,1,0.262964,long|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_unconfirmed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17579.95,17601.49,17564.28,17601.49,20.14,4,target,23.1,6.2,1.4
rw_001,124844,2024-02-05 19:45:00,2024-02-05 19:50:00,1,0.178005,long|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_unconfirmed|prior_day_volume_quiet|session_pressure_high|spread_mid|late_session,17615.5,17599.44,17599.44,17637.58,-17.46,2,stop,3.2,20.15,1.4
rw_001,124850,2024-02-05 20:15:00,2024-02-05 20:15:00,1,0.181667,long|short_volume_pressure_mixed|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_decaying|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_mid|spread_mid|late_session,17624.7,17608.18,17608.18,17647.42,-17.92,1,stop,0.0,19.05,1.4
rw_001,125049,2024-02-06 13:50:00,2024-02-06 13:50:00,-1,0.235808,short|short_volume_pressure_with|medium_volume_pressure_mixed|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_unconfirmed|prior_day_volume_hot|session_pressure_high|spread_low|us_overlap,17590.75,17598.02,17598.02,17580.76,-8.67,1,stop,0.35,11.4,1.4
rw_001,125067,2024-02-06 15:20:00,2024-02-06 16:00:00,1,0.221665,long|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_normal|session_pressure_high|spread_high|us_overlap,17642.05,17652.48,17634.46,17652.48,9.03,9,target,12.45,7.5,1.4
rw_001,125092,2024-02-06 17:25:00,2024-02-06 17:25:00,-1,0.387627,short|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17523.25,17506.84,17535.19,17506.84,15.06,1,target,18.75,10.3,1.35
rw_001,125100,2024-02-06 18:05:00,2024-02-06 18:05:00,-1,0.232942,short|short_volume_pressure_mixed|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_mid|opposing_effort_decaying|volume_acceleration_flat|close_location_mixed|prior_day_volume_quiet|session_pressure_mid|spread_low|late_session,17542.6,17556.25,17556.25,17523.83,-14.17,1,stop,2.9,23.0,0.52
rw_001,125111,2024-02-06 19:00:00,2024-02-06 19:20:00,-1,0.307572,short|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17492.95,17471.21,17508.76,17471.21,21.74,5,target,25.2,10.9,0.0
rw_001,125117,2024-02-06 19:30:00,2024-02-06 19:30:00,1,0.191125,long|short_volume_pressure_mixed|medium_volume_pressure_mixed|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_decaying|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_mid|spread_mid|late_session,17511.4,17494.59,17494.59,17534.52,-16.81,1,stop,2.5,24.15,0.0
rw_001,125123,2024-02-06 20:00:00,2024-02-06 20:05:00,-1,0.223999,short|short_volume_pressure_mixed|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_decaying|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_mid|spread_mid|late_session,17498.3,17516.57,17516.57,17473.18,-18.27,2,stop,3.45,23.65,0.0
rw_001,125135,2024-02-06 21:00:00,2024-02-06 21:05:00,1,0.188132,long|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_mid|late_session,17536.95,17519.66,17519.66,17560.72,-18.69,2,stop,1.75,51.2,1.4
rw_001,125339,2024-02-07 15:00:00,2024-02-07 15:00:00,1,0.260884,long|short_volume_pressure_with|medium_volume_pressure_mixed|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_hot|session_pressure_high|spread_low|us_overlap,17621.8,17630.51,17615.46,17630.51,7.31,1,target,12.85,3.15,1.4
rw_001,125353,2024-02-07 16:10:00,2024-02-07 16:20:00,1,0.269738,long|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_normal|session_pressure_high|spread_low|us_overlap,17671.65,17681.55,17664.45,17681.55,8.5,3,target,12.6,3.35,1.4
rw_001,125369,2024-02-07 17:30:00,2024-02-07 17:30:00,1,0.397827,long|short_volume_pressure_with|medium_volume_pressure_with|price_response_aligned|effort_result_price_ahead|reconciliation_release_high|opposing_effort_neutral|volume_acceleration_flat|close_location_confirmed|prior_day_volume_quiet|session_pressure_high|spread_low|late_session,17777.65,17765.33,17765.33,17794.59,-12.32,1,stop,4.2,20.6,0.0
