fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_002,141447,2024-05-01 06:05:00,2024-05-01 06:55:00,-1,1.062705,short|post_sc0007_regression_channel_residual_mixed_evidence|same_0|opp_0|div_0|loss_0|foldloss_0|costgap_30,17393.65,17398.92,17398.92,17386.4,-6.67,11,stop,5.4,5.3,1.4
rw_002,141542,2024-05-01 14:00:00,2024-05-01 14:20:00,-1,0.686458,short|post_sc0007_regression_channel_residual_mixed_evidence|same_1|opp_0|div_1|loss_78|foldloss_100|costgap_30,17330.05,17339.59,17339.59,17316.93,-10.94,5,stop,8.85,12.95,1.4
rw_002,141562,2024-05-01 15:40:00,2024-05-01 15:40:00,-1,1.113842,short|post_sc0007_regression_channel_residual_mixed_evidence|same_0|opp_1|div_1|loss_0|foldloss_0|costgap_30,17375.4,17361.08,17385.81,17361.08,12.97,1,target,15.45,0.4,1.35
rw_002,141588,2024-05-01 17:50:00,2024-05-01 18:05:00,-1,0.699869,short|post_sc0007_regression_channel_residual_mixed_evidence|same_1|opp_2|div_3|loss_89|foldloss_100|costgap_30,17362.0,17341.29,17377.06,17341.29,20.63,4,target,40.5,14.05,0.08
rw_002,141608,2024-05-01 19:30:00,2024-05-01 19:40:00,-1,0.171535,short|post_sc0007_regression_channel_residual_mixed_evidence|same_2|opp_3|div_5|loss_100|foldloss_100|costgap_30,17331.2,17305.69,17349.76,17305.69,24.83,3,target,29.25,0.75,0.68
rw_002,141621,2024-05-01 20:35:00,2024-05-01 21:00:00,-1,0.13522,short|post_sc0007_regression_channel_residual_mixed_evidence|same_2|opp_1|div_3|loss_83|foldloss_100|costgap_30,17326.65,17345.66,17345.66,17300.51,-20.16,6,stop,16.65,62.85,1.15
rw_002,141777,2024-05-02 10:35:00,2024-05-02 10:45:00,-1,1.234899,short|post_sc0007_regression_channel_residual_mixed_evidence|same_0|opp_2|div_2|loss_0|foldloss_0|costgap_30,17437.45,17443.39,17443.39,17429.29,-7.34,3,stop,6.4,14.1,1.4
rw_002,141784,2024-05-02 11:10:00,2024-05-02 11:15:00,-1,0.650372,short|post_sc0007_regression_channel_residual_mixed_evidence|same_0|opp_3|div_3|loss_0|foldloss_0|costgap_30,17455.65,17462.62,17462.62,17446.06,-8.37,2,stop,3.65,15.6,1.4
rw_002,141808,2024-05-02 13:10:00,2024-05-02 13:10:00,-1,1.048254,short|post_sc0007_regression_channel_residual_mixed_evidence|same_0|opp_4|div_4|loss_0|foldloss_0|costgap_30,17473.65,17461.85,17482.23,17461.85,10.7,1,target,17.0,1.9,1.1
rw_002,141839,2024-05-02 15:45:00,2024-05-02 15:45:00,-1,1.345678,short|post_sc0007_regression_channel_residual_mixed_evidence|same_0|opp_2|div_2|loss_0|foldloss_0|costgap_30,17484.65,17472.42,17493.55,17472.42,10.93,1,target,12.9,6.75,1.3
rw_002,141860,2024-05-02 17:30:00,2024-05-02 17:30:00,-1,-0.056879,short|post_sc0007_regression_channel_residual_mixed_evidence|same_1|opp_0|div_1|loss_78|foldloss_100|costgap_30,17369.65,17386.92,17386.92,17345.9,-17.8,1,stop,5.4,21.3,0.53
rw_002,141868,2024-05-02 18:10:00,2024-05-02 18:20:00,-1,0.640066,short|post_sc0007_regression_channel_residual_mixed_evidence|same_2|opp_2|div_4|loss_83|foldloss_100|costgap_30,17428.55,17399.94,17449.36,17399.94,27.99,3,target,29.05,4.85,0.62
rw_002,141877,2024-05-02 18:55:00,2024-05-02 19:10:00,-1,0.255662,short|post_sc0007_regression_channel_residual_mixed_evidence|same_1|opp_2|div_3|loss_78|foldloss_100|costgap_30,17427.45,17395.74,17450.51,17395.74,31.06,4,target,42.15,14.55,0.65
