fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124130,2024-02-01 06:10:00,2024-02-01 06:25:00,1,-3.985909,long|intraday_swing_leg_maturity,17212.65,17219.96,17207.34,17219.96,5.91,4,target,8.9,1.0,1.4
rw_001,124137,2024-02-01 06:45:00,2024-02-01 07:00:00,-1,-3.960915,short|intraday_swing_leg_maturity,17216.8,17209.9,17221.82,17209.9,5.5,4,target,10.7,1.0,1.4
rw_001,124149,2024-02-01 07:45:00,2024-02-01 07:50:00,1,-3.967413,long|intraday_swing_leg_maturity,17200.85,17196.45,17196.45,17206.9,-5.8,2,stop,2.6,5.4,1.4
rw_001,124196,2024-02-01 11:40:00,2024-02-01 11:45:00,-1,-4.003545,short|intraday_swing_leg_maturity,17224.75,17233.1,17233.1,17213.27,-9.75,2,stop,6.85,9.0,1.4
rw_001,124202,2024-02-01 12:10:00,2024-02-01 12:45:00,1,-3.978562,long|intraday_swing_leg_maturity,17233.8,17245.94,17224.97,17245.94,10.74,8,target,14.7,0.85,1.4
rw_001,124222,2024-02-01 13:50:00,2024-02-01 14:05:00,1,-4.004129,long|intraday_swing_leg_maturity,17228.95,17239.56,17221.24,17239.56,9.21,4,target,20.7,7.5,1.4
rw_001,124232,2024-02-01 14:40:00,2024-02-01 14:40:00,-1,-3.990871,short|intraday_swing_leg_maturity,17246.3,17253.52,17253.52,17236.37,-8.62,1,stop,0.0,9.85,1.4
rw_001,124407,2024-02-02 06:15:00,2024-02-02 06:30:00,1,-3.955766,long|intraday_swing_leg_maturity,17509.65,17515.49,17505.4,17515.49,4.44,4,target,6.95,0.15,1.4
rw_001,124414,2024-02-02 06:50:00,2024-02-02 07:10:00,-1,-3.956731,short|intraday_swing_leg_maturity,17510.2,17514.39,17514.39,17504.44,-5.59,5,stop,4.35,6.45,1.4
rw_001,124421,2024-02-02 07:25:00,2024-02-02 07:25:00,-1,-3.950011,short|intraday_swing_leg_maturity,17515.4,17519.33,17519.33,17510.0,-5.33,1,stop,1.75,7.15,1.4
rw_001,124428,2024-02-02 08:00:00,2024-02-02 08:00:00,-1,-3.968449,short|intraday_swing_leg_maturity,17516.45,17511.42,17520.11,17511.42,3.63,1,target,10.3,0.5,1.4
rw_001,124481,2024-02-02 12:25:00,2024-02-02 12:25:00,1,-4.003988,long|intraday_swing_leg_maturity,17513.2,17522.69,17506.3,17522.69,8.09,1,target,9.95,1.45,1.4
rw_001,124490,2024-02-02 13:10:00,2024-02-02 13:10:00,-1,-3.991346,short|intraday_swing_leg_maturity,17507.5,17514.51,17514.51,17497.85,-8.41,1,stop,0.35,7.8,1.4
rw_001,124500,2024-02-02 14:00:00,2024-02-02 14:05:00,1,-3.949792,long|intraday_swing_leg_maturity,17522.55,17515.6,17515.6,17532.11,-8.35,2,stop,1.15,15.2,1.4
