fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_004,178805,2024-11-07 15:05:00,2024-11-07 15:05:00,1,-1.957955,long|phase_trigger|compression_high|trigger_strong|fresh_new|low_decay|us_overlap,20878.58,20889.11,20870.93,20889.11,9.13,1,target,12.62,4.75,1.4
rw_004,178831,2024-11-07 17:15:00,2024-11-07 17:15:00,1,-1.953561,long|phase_early_confirmation|compression_low|trigger_firm|fresh_new|low_decay|late_session,21015.43,21003.08,21003.08,21032.41,-13.55,1,stop,2.37,21.25,1.2
rw_004,178840,2024-11-07 18:00:00,2024-11-07 18:00:00,1,-1.924852,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,21059.55,21044.88,21044.88,21079.72,-15.87,1,stop,10.88,23.25,1.2
rw_004,178846,2024-11-07 18:30:00,2024-11-07 18:45:00,1,-1.885472,long|phase_early_confirmation|compression_low|trigger_soft|fresh_fresh|low_decay|late_session,21052.68,21074.46,21036.84,21074.46,20.58,4,target,30.12,4.38,1.2
rw_004,178852,2024-11-07 19:00:00,2024-11-07 19:00:00,1,-1.870416,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,21092.8,21076.3,21076.3,21115.49,-17.7,1,stop,0.5,29.75,1.2
rw_004,178858,2024-11-07 19:30:00,2024-11-07 20:10:00,1,-1.855485,long|phase_early_confirmation|compression_low|trigger_soft|fresh_fresh|low_decay|late_session,21078.05,21061.05,21061.05,21101.42,-18.2,9,stop,17.5,21.0,1.2
rw_004,178977,2024-11-08 06:25:00,2024-11-08 06:30:00,1,-1.948725,long|phase_trigger|compression_high|trigger_firm|fresh_new|low_decay|early_session,21132.24,21127.01,21127.01,21139.43,-6.63,2,stop,0.0,7.63,1.4
rw_004,178983,2024-11-08 06:55:00,2024-11-08 07:30:00,1,-1.984894,long|phase_early_confirmation|compression_high|trigger_soft|fresh_fresh|mid_decay|early_session,21125.24,21132.05,21120.28,21132.05,5.41,8,target,9.87,4.25,1.4
rw_004,179050,2024-11-08 12:30:00,2024-11-08 12:30:00,-1,-1.962182,short|phase_trigger|compression_high|trigger_strong|fresh_new|low_decay|europe_morning,21093.86,21084.8,21100.45,21084.8,7.66,1,target,23.12,1.0,1.4
rw_004,179057,2024-11-08 13:05:00,2024-11-08 13:10:00,-1,-1.974219,short|phase_trigger|compression_mid|trigger_strong|fresh_new|low_decay|us_overlap,21031.24,21039.47,21039.47,21019.93,-9.63,2,stop,11.0,13.87,1.4
rw_004,179113,2024-11-08 17:45:00,2024-11-08 17:45:00,-1,-1.985229,short|phase_early_confirmation|compression_low|trigger_soft|fresh_fresh|high_decay|late_session,21079.71,21092.61,21092.61,21061.97,-14.1,1,stop,3.5,19.88,1.2
rw_004,179127,2024-11-08 18:55:00,2024-11-08 19:00:00,1,-1.846402,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,21123.21,21108.52,21108.52,21143.4,-15.89,2,stop,11.25,17.75,1.2
rw_004,179136,2024-11-08 19:40:00,2024-11-08 20:30:00,1,-1.841922,long|phase_early_confirmation|compression_low|trigger_soft|fresh_stale|low_decay|late_session,21115.46,21136.19,21100.39,21136.19,19.53,11,target,30.88,8.12,1.2
rw_004,179147,2024-11-08 20:35:00,2024-11-08 21:25:00,1,-1.805564,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,21142.46,21156.96,21127.47,21163.07,13.3,11,max_hold,20.0,11.25,1.2
rw_004,179264,2024-11-11 07:25:00,2024-11-11 07:30:00,1,-1.96637,long|phase_trigger|compression_high|trigger_firm|fresh_new|mid_decay|early_session,21204.87,21200.3,21200.3,21211.15,-5.97,2,stop,2.25,10.25,1.4
rw_004,179330,2024-11-11 12:55:00,2024-11-11 13:20:00,-1,-1.960366,short|phase_trigger|compression_mid|trigger_strong|fresh_new|low_decay|europe_morning,21184.5,21191.34,21191.34,21175.09,-8.24,6,stop,8.75,7.0,1.4
rw_004,179356,2024-11-11 15:05:00,2024-11-11 15:05:00,1,-1.936932,long|phase_trigger|compression_high|trigger_strong|fresh_new|low_decay|us_overlap,21241.5,21234.97,21234.97,21250.48,-7.93,1,stop,1.87,7.5,1.4
rw_004,179374,2024-11-11 16:35:00,2024-11-11 16:35:00,-1,-1.952825,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|us_overlap,21177.72,21184.57,21184.57,21168.3,-8.05,1,stop,29.75,13.38,1.2
rw_004,179385,2024-11-11 17:30:00,2024-11-11 17:30:00,-1,-1.948389,short|phase_early_confirmation|compression_low|trigger_soft|fresh_fresh|mid_decay|late_session,21096.47,21107.54,21107.54,21081.25,-12.27,1,stop,0.0,34.25,1.2
rw_004,179407,2024-11-11 19:20:00,2024-11-11 20:00:00,-1,-1.83542,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,21080.35,21058.27,21096.41,21058.27,20.88,9,target,58.38,15.37,1.2
rw_004,179420,2024-11-11 20:25:00,2024-11-11 20:25:00,-1,-1.793055,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,21017.1,21035.03,21035.03,20992.44,-19.13,1,stop,2.13,33.12,1.2
rw_004,179629,2024-11-12 14:50:00,2024-11-12 14:50:00,1,-1.923859,long|phase_trigger|compression_low|trigger_strong|fresh_new|mid_decay|us_overlap,21120.75,21108.89,21108.89,21137.06,-13.26,1,stop,0.25,16.63,1.4
rw_004,179637,2024-11-12 15:30:00,2024-11-12 15:45:00,1,-1.893378,long|phase_early_confirmation|compression_low|trigger_soft|fresh_new|mid_decay|us_overlap,21117.25,21133.41,21105.5,21133.41,14.76,4,target,24.12,5.88,1.4
