fold_id,signal_index,entry_time,exit_time,direction,score,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124204,2024-02-01 12:20:00,2024-02-01 12:20:00,-1,1.582124,17234.85,17241.776562,17241.776562,17225.01875,-8.326563,1,stop,0.15,7.6,1.4
rw_001,124234,2024-02-01 14:50:00,2024-02-01 14:50:00,-1,1.57829,17249.1,17254.61025,17254.61025,17241.279,-6.91025,1,stop,2.8,5.75,1.4
rw_001,124288,2024-02-01 19:20:00,2024-02-01 19:25:00,-1,1.597541,17263.0,17242.37225,17277.533188,17242.37225,19.22775,2,target,25.7,1.95,1.4
rw_001,124294,2024-02-01 19:50:00,2024-02-01 19:50:00,1,1.643672,17277.45,17297.635,17263.22875,17297.635,18.785,1,target,22.75,0.35,1.4
rw_001,124297,2024-02-01 20:05:00,2024-02-01 20:10:00,-1,1.662991,17239.6,17254.676333,17254.676333,17218.201333,-16.326333,2,stop,14.6,30.75,1.25
rw_001,124507,2024-02-02 14:35:00,2024-02-02 14:50:00,-1,1.524531,17537.6,17529.975167,17542.972042,17529.975167,6.224833,4,target,16.1,4.65,1.4
rw_001,124567,2024-02-02 19:35:00,2024-02-02 19:40:00,-1,1.4034,17644.9,17619.108667,17663.071167,17619.108667,24.391333,2,target,68.95,13.85,1.4
rw_001,125041,2024-02-06 13:10:00,2024-02-06 13:10:00,-1,1.662453,17641.4,17634.537833,17646.234708,17634.537833,5.462167,1,target,8.2,2.05,1.4
rw_001,125077,2024-02-06 16:10:00,2024-02-06 16:10:00,-1,1.495658,17648.35,17654.147,17654.147,17640.122,-7.197,1,stop,1.35,8.65,1.4
rw_001,125134,2024-02-06 20:55:00,2024-02-06 21:05:00,-1,1.388627,17525.7,17506.075083,17539.526646,17506.075083,18.224917,3,target,39.95,13.4,1.4
rw_001,125392,2024-02-07 19:25:00,2024-02-07 19:30:00,-1,1.416997,17739.2,17720.6815,17752.247125,17720.6815,17.1185,2,target,31.25,2.2,1.4
rw_001,125398,2024-02-07 19:55:00,2024-02-07 20:00:00,1,1.633775,17725.45,17711.889438,17711.889438,17744.69725,-13.840562,2,stop,25.85,24.15,0.28
rw_001,125860,2024-02-09 12:25:00,2024-02-09 12:40:00,-1,1.433628,17829.8,17834.143229,17834.143229,17823.635417,-5.743229,4,stop,2.85,5.55,1.4
rw_001,125869,2024-02-09 13:10:00,2024-02-09 13:20:00,1,1.366101,17822.05,17817.50075,17817.50075,17828.507,-5.94925,3,stop,1.85,5.8,1.4
rw_001,125944,2024-02-09 19:25:00,2024-02-09 19:30:00,1,1.440227,17904.95,17919.210583,17894.902771,17919.210583,12.860583,2,target,17.65,1.25,1.4
rw_001,126448,2024-02-13 15:30:00,2024-02-13 15:30:00,-1,1.62009,17766.45,17772.472396,17772.472396,17757.902083,-7.272396,1,stop,165.75,23.05,1.25
rw_001,126505,2024-02-13 20:15:00,2024-02-13 20:20:00,1,1.341818,17613.7,17597.771167,17597.771167,17636.308667,-16.078833,2,stop,7.15,19.25,0.15
rw_001,126685,2024-02-14 12:15:00,2024-02-14 12:15:00,-1,1.387535,17708.25,17713.244229,17713.244229,17701.161417,-6.394229,1,stop,0.2,6.05,1.4
rw_001,126700,2024-02-14 13:30:00,2024-02-14 13:35:00,1,1.532769,17698.65,17693.752646,17693.752646,17705.601083,-6.297354,2,stop,2.35,15.55,1.4
rw_001,126709,2024-02-14 14:15:00,2024-02-14 14:25:00,-1,1.765936,17719.65,17724.80375,17724.80375,17712.335,-6.55375,3,stop,4.45,6.9,1.4
rw_001,126787,2024-02-14 20:45:00,2024-02-14 20:50:00,-1,1.598981,17716.15,17730.811063,17730.811063,17695.34075,-16.061062,2,stop,0.75,15.05,1.4
rw_001,126790,2024-02-14 21:00:00,2024-02-14 21:00:00,-1,1.38776,17710.7,17690.554417,17724.893479,17690.554417,18.745583,1,target,21.85,0.9,1.4
rw_001,127000,2024-02-15 15:30:00,2024-02-15 15:30:00,1,1.54964,17825.9,17821.434708,17821.434708,17832.237833,-4.515292,1,stop,31.8,6.4,0.05
rw_001,127063,2024-02-15 20:45:00,2024-02-15 21:00:00,-1,1.419802,17828.0,17835.5,17841.6865,17808.574,-7.5,4,early_giveback,9.5,10.75,0.0
rw_001,127516,2024-02-19 12:35:00,2024-02-19 12:35:00,1,1.346906,17706.35,17701.526271,17701.526271,17713.196583,-6.223729,1,stop,2.6,6.1,1.4
rw_001,127519,2024-02-19 12:50:00,2024-02-19 12:55:00,1,1.451422,17705.9,17700.956792,17700.956792,17712.916167,-6.343208,2,stop,0.95,5.85,1.4
