fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124137,2024-02-01 06:45:00,2024-02-01 07:00:00,-1,-2.082397,short|price_acceleration_curvature,17216.8,17209.9,17221.82,17209.9,5.5,4,target,10.7,1.0,1.4
rw_001,124209,2024-02-01 12:45:00,2024-02-01 13:00:00,-1,-2.071466,short|price_acceleration_curvature,17243.45,17252.28,17252.28,17231.31,-10.23,4,stop,1.7,10.0,1.4
rw_001,124216,2024-02-01 13:20:00,2024-02-01 13:50:00,-1,-2.082152,short|price_acceleration_curvature,17237.05,17225.87,17245.18,17225.87,9.78,7,target,15.6,0.95,1.4
rw_001,124228,2024-02-01 14:20:00,2024-02-01 14:40:00,-1,-2.099324,short|price_acceleration_curvature,17240.0,17247.66,17247.66,17229.47,-9.06,5,stop,1.85,16.15,1.4
rw_001,124284,2024-02-01 19:00:00,2024-02-01 19:00:00,-1,-2.106512,short|price_acceleration_curvature,17220.3,17238.28,17238.28,17195.58,-19.38,1,stop,1.75,34.6,1.4
rw_001,124292,2024-02-01 19:40:00,2024-02-01 19:45:00,-1,-2.066266,short|price_acceleration_curvature,17238.55,17257.34,17257.34,17212.71,-19.94,2,stop,5.6,40.55,1.15
rw_001,124302,2024-02-01 20:30:00,2024-02-01 20:30:00,-1,-2.085045,short|price_acceleration_curvature,17269.2,17289.43,17289.43,17241.39,-20.4,1,stop,1.9,27.8,0.17
rw_001,124308,2024-02-01 21:00:00,2024-02-01 21:05:00,-1,-2.095464,short|price_acceleration_curvature,17270.75,17290.75,17290.75,17243.26,-20.4,2,stop,1.75,29.7,0.4
rw_001,124417,2024-02-02 07:05:00,2024-02-02 07:10:00,-1,-2.097989,short|price_acceleration_curvature,17510.65,17514.86,17514.86,17504.86,-5.61,2,stop,1.65,6.0,1.4
rw_001,124423,2024-02-02 07:35:00,2024-02-02 07:35:00,-1,-2.090328,short|price_acceleration_curvature,17515.6,17519.49,17519.49,17510.25,-5.29,1,stop,1.85,4.3,1.4
rw_001,124501,2024-02-02 14:05:00,2024-02-02 14:05:00,-1,-2.08889,short|price_acceleration_curvature,17519.75,17510.29,17526.63,17510.29,8.06,1,target,12.4,0.0,1.4
rw_001,124507,2024-02-02 14:35:00,2024-02-02 14:50:00,-1,-2.104241,short|price_acceleration_curvature,17537.6,17528.07,17544.53,17528.07,8.13,4,target,16.1,4.65,1.4
rw_001,124561,2024-02-02 19:05:00,2024-02-02 19:25:00,-1,-2.075824,short|price_acceleration_curvature,17607.55,17629.89,17629.89,17576.84,-22.34,5,stop,11.6,46.6,0.0
rw_001,124567,2024-02-02 19:35:00,2024-02-02 19:40:00,-1,-2.009326,short|price_acceleration_curvature,17644.9,17612.66,17668.35,17612.66,30.84,2,target,68.95,13.85,1.4
rw_001,124573,2024-02-02 20:05:00,2024-02-02 20:25:00,-1,-2.090207,short|price_acceleration_curvature,17625.3,17594.55,17647.66,17594.55,30.75,5,target,31.85,17.0,0.0
rw_001,124582,2024-02-02 20:50:00,2024-02-02 21:00:00,-1,-2.07376,short|price_acceleration_curvature,17623.9,17645.87,17645.87,17593.69,-23.37,3,stop,5.35,29.7,1.4
rw_001,124680,2024-02-05 06:05:00,2024-02-05 06:55:00,-1,-2.013535,short|price_acceleration_curvature,17588.25,17590.65,17594.68,17579.41,-3.8,11,max_hold,3.9,2.5,1.4
rw_001,124773,2024-02-05 13:50:00,2024-02-05 13:55:00,-1,-2.087769,short|price_acceleration_curvature,17617.05,17607.39,17624.08,17607.39,8.26,2,target,9.9,0.75,1.4
rw_001,124791,2024-02-05 15:20:00,2024-02-05 15:20:00,-1,-2.100592,short|price_acceleration_curvature,17633.45,17624.09,17640.26,17624.09,7.96,1,target,18.25,1.0,1.4
rw_001,124834,2024-02-05 18:55:00,2024-02-05 19:00:00,-1,-2.104059,short|price_acceleration_curvature,17553.1,17568.35,17568.35,17532.13,-16.65,2,stop,0.45,17.35,1.4
rw_001,124840,2024-02-05 19:25:00,2024-02-05 19:35:00,-1,-2.093997,short|price_acceleration_curvature,17591.65,17607.44,17607.44,17569.94,-17.19,3,stop,7.75,33.0,1.4
rw_001,124847,2024-02-05 20:00:00,2024-02-05 20:10:00,-1,-2.076188,short|price_acceleration_curvature,17600.35,17616.7,17616.7,17577.87,-17.75,3,stop,13.95,25.4,1.4
rw_001,124857,2024-02-05 20:50:00,2024-02-05 21:10:00,-1,-2.05976,short|price_acceleration_curvature,17599.1,17615.34,17615.34,17576.77,-17.64,5,stop,16.35,16.25,1.4
rw_001,125040,2024-02-06 13:05:00,2024-02-06 13:10:00,1,-2.107196,long|price_acceleration_curvature,17645.6,17639.24,17639.24,17654.35,-7.76,2,stop,0.8,12.4,1.4
rw_001,125066,2024-02-06 15:15:00,2024-02-06 15:15:00,-1,-2.118939,short|price_acceleration_curvature,17634.45,17642.16,17642.16,17623.86,-9.11,1,stop,0.0,7.8,1.4
rw_001,125073,2024-02-06 15:50:00,2024-02-06 16:00:00,-1,-2.094798,short|price_acceleration_curvature,17646.65,17654.27,17654.27,17636.17,-9.02,3,stop,3.35,7.85,1.4
rw_001,125080,2024-02-06 16:25:00,2024-02-06 16:25:00,-1,-2.111989,short|price_acceleration_curvature,17657.95,17647.44,17665.6,17647.44,9.21,1,target,13.1,0.0,1.3
rw_001,125107,2024-02-06 18:40:00,2024-02-06 18:45:00,-1,-2.123392,short|price_acceleration_curvature,17550.15,17529.91,17564.87,17529.91,18.84,2,target,57.5,0.95,1.4
rw_001,125119,2024-02-06 19:40:00,2024-02-06 19:45:00,1,-2.119617,long|price_acceleration_curvature,17514.25,17496.69,17496.69,17538.4,-18.96,2,stop,7.85,20.1,1.4
rw_001,125125,2024-02-06 20:10:00,2024-02-06 20:35:00,-1,-2.093839,short|price_acceleration_curvature,17514.7,17533.31,17533.31,17489.11,-20.01,6,stop,19.2,23.3,1.4
rw_001,125134,2024-02-06 20:55:00,2024-02-06 21:05:00,-1,-2.059318,short|price_acceleration_curvature,17525.7,17501.17,17543.54,17501.17,23.13,3,target,39.95,13.4,1.4
