fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124133,2024-02-01 06:25:00,2024-02-01 06:45:00,1,0.322418,long|favorable_shadow_high|adverse_shadow_low|shadow_imbalance_favorable|shadow_cluster_dense|current_shadow_favorable|body_follow_flat|shadow_settlement_strong|range_release_strong|volume_confirmation_mixed|prior_shadow_with_trade|session_pressure_low|spread_high|early_session,17216.75,17211.48,17211.48,17224.0,-6.67,5,stop,4.8,6.15,1.4
rw_001,124195,2024-02-01 11:35:00,2024-02-01 11:40:00,-1,0.209424,short|favorable_shadow_mid|adverse_shadow_mid|shadow_imbalance_mixed|shadow_cluster_dense|current_shadow_favorable|body_follow_flat|shadow_settlement_strong|range_release_mid|volume_confirmation_with|prior_shadow_against_trade|session_pressure_mid|spread_high|europe_morning,17230.45,17219.04,17238.75,17219.04,10.01,2,target,12.55,0.0,1.4
rw_001,124212,2024-02-01 13:00:00,2024-02-01 13:05:00,1,0.228777,long|favorable_shadow_mid|adverse_shadow_mid|shadow_imbalance_mixed|shadow_cluster_dense|current_shadow_favorable|body_follow_flat|shadow_settlement_strong|range_release_strong|volume_confirmation_mixed|prior_shadow_with_trade|session_pressure_mid|spread_high|europe_morning,17248.45,17239.96,17239.96,17260.12,-9.89,2,stop,5.0,10.05,1.4
rw_001,124225,2024-02-01 14:05:00,2024-02-01 14:05:00,1,0.24052,long|favorable_shadow_high|adverse_shadow_mid|shadow_imbalance_favorable|shadow_cluster_dense|current_shadow_favorable|body_follow_flat|shadow_settlement_strong|range_release_mid|volume_confirmation_with|prior_shadow_with_trade|session_pressure_mid|spread_high|us_overlap,17234.25,17244.91,17226.49,17244.91,9.26,1,target,15.4,0.0,1.4
rw_001,124249,2024-02-01 16:05:00,2024-02-01 16:10:00,-1,0.420459,short|favorable_shadow_high|adverse_shadow_low|shadow_imbalance_favorable|shadow_cluster_dense|current_shadow_favorable|body_follow_flat|shadow_settlement_strong|range_release_mid|volume_confirmation_with|prior_shadow_against_trade|session_pressure_mid|spread_low|us_overlap,17222.85,17231.17,17231.17,17211.4,-8.57,2,stop,7.7,11.05,0.25
rw_001,124265,2024-02-01 17:25:00,2024-02-01 17:25:00,1,0.374399,long|favorable_shadow_mid|adverse_shadow_mid|shadow_imbalance_mixed|shadow_cluster_present|current_shadow_favorable|body_follow_with|shadow_settlement_strong|range_release_strong|volume_confirmation_with|prior_shadow_with_trade|session_pressure_high|spread_low|late_session,17230.4,17248.56,17217.19,17248.56,18.16,1,target,34.25,3.1,0.0
rw_001,124276,2024-02-01 18:20:00,2024-02-01 18:20:00,-1,0.43582,short|favorable_shadow_mid|adverse_shadow_mid|shadow_imbalance_mixed|shadow_cluster_dense|current_shadow_favorable|body_follow_with|shadow_settlement_strong|range_release_strong|volume_confirmation_with|prior_shadow_against_trade|session_pressure_high|spread_low|late_session,17176.45,17192.71,17192.71,17154.09,-17.66,1,stop,5.3,18.2,1.4
rw_001,124301,2024-02-01 20:25:00,2024-02-01 20:35:00,1,0.277391,long|favorable_shadow_mid|adverse_shadow_mid|shadow_imbalance_mixed|shadow_cluster_dense|current_shadow_favorable|body_follow_flat|shadow_settlement_strong|range_release_mid|volume_confirmation_with|prior_shadow_with_trade|session_pressure_high|spread_low|late_session,17269.2,17248.93,17248.93,17297.07,-20.72,3,stop,27.8,32.55,0.45
rw_001,124482,2024-02-02 12:30:00,2024-02-02 12:55:00,1,0.346545,long|favorable_shadow_high|adverse_shadow_low|shadow_imbalance_favorable|shadow_cluster_dense|current_shadow_mixed|body_follow_flat|shadow_settlement_strong|range_release_strong|volume_confirmation_with|prior_shadow_neutral|session_pressure_mid|spread_high|europe_morning,17521.9,17514.99,17514.99,17531.4,-8.31,6,stop,8.25,11.05,1.4
rw_001,124489,2024-02-02 13:05:00,2024-02-02 13:30:00,1,0.274015,long|favorable_shadow_high|adverse_shadow_low|shadow_imbalance_favorable|shadow_cluster_dense|current_shadow_favorable|body_follow_flat|shadow_settlement_strong|range_release_weak|volume_confirmation_mixed|prior_shadow_neutral|session_pressure_mid|spread_high|us_overlap,17510.5,17520.26,17503.4,17520.26,8.36,6,target,10.35,4.15,1.4
rw_001,124509,2024-02-02 14:45:00,2024-02-02 14:45:00,1,0.39938,long|favorable_shadow_high|adverse_shadow_low|shadow_imbalance_favorable|shadow_cluster_dense|current_shadow_favorable|body_follow_with|shadow_settlement_strong|range_release_strong|volume_confirmation_mixed|prior_shadow_neutral|session_pressure_mid|spread_high|us_overlap,17541.95,17535.23,17535.23,17551.19,-8.12,1,stop,0.3,9.8,1.4
