fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124130,2024-02-01 06:10:00,2024-02-01 06:25:00,1,0.172717,long|short_spread_normal|medium_spread_calm|spread_rebuilding|friction_range_high|price_recovery_aligned|post_shock_settlement_strong|shock_exhaustion_low|relief_volume_flat|prior_day_range_hot|session_pressure_low|spread_high|early_session,17212.65,17219.96,17207.34,17219.96,5.91,4,target,8.9,1.0,1.4
rw_001,124249,2024-02-01 16:05:00,2024-02-01 16:10:00,-1,0.114373,short|short_spread_normal|medium_spread_elevated|spread_rebuilding|friction_range_mid|price_recovery_aligned|post_shock_settlement_strong|shock_exhaustion_mid|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|us_overlap,17222.85,17231.17,17231.17,17211.4,-8.57,2,stop,7.7,11.05,0.25
rw_001,124256,2024-02-01 16:40:00,2024-02-01 16:40:00,-1,0.108646,short|short_spread_normal|medium_spread_elevated|spread_flat|friction_range_mid|price_recovery_aligned|post_shock_settlement_strong|shock_exhaustion_mid|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|us_overlap,17211.25,17221.1,17221.1,17197.7,-9.85,1,stop,8.75,19.55,0.0
rw_001,124266,2024-02-01 17:30:00,2024-02-01 17:30:00,1,0.244347,long|short_spread_normal|medium_spread_shock|spread_rebuilding|friction_range_low|price_recovery_aligned|post_shock_settlement_strong|shock_exhaustion_high|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|late_session,17264.25,17250.73,17250.73,17282.85,-13.79,1,stop,2.35,14.95,0.27
rw_001,124272,2024-02-01 18:00:00,2024-02-01 18:05:00,-1,0.348383,short|short_spread_normal|medium_spread_shock|spread_flat|friction_range_low|price_recovery_aligned|post_shock_settlement_strong|shock_exhaustion_high|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|late_session,17169.0,17184.53,17184.53,17147.65,-15.53,2,stop,9.25,20.45,0.0
rw_001,124279,2024-02-01 18:35:00,2024-02-01 18:50:00,1,0.344622,long|short_spread_shocked|medium_spread_shock|spread_rebuilding|friction_range_low|price_recovery_aligned|post_shock_settlement_strong|shock_exhaustion_high|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|late_session,17206.4,17229.67,17189.48,17229.67,21.87,4,target,23.7,12.95,1.4
rw_001,124285,2024-02-01 19:05:00,2024-02-01 19:05:00,1,0.286495,long|short_spread_shocked|medium_spread_shock|spread_rebuilding|friction_range_low|price_recovery_aligned|post_shock_settlement_strong|shock_exhaustion_mid|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_mid|late_session,17248.8,17273.5,17230.83,17273.5,23.3,1,target,33.15,0.0,1.4
rw_001,124297,2024-02-01 20:05:00,2024-02-01 20:10:00,-1,0.175425,short|short_spread_normal|medium_spread_elevated|spread_rebuilding|friction_range_low|price_recovery_flat|post_shock_settlement_strong|shock_exhaustion_mid|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|late_session,17239.6,17259.05,17259.05,17212.85,-20.7,2,stop,14.6,30.75,1.25
rw_001,124405,2024-02-02 06:05:00,2024-02-02 06:15:00,1,0.099626,long|short_spread_normal|medium_spread_calm|spread_flat|friction_range_high|price_recovery_adverse|post_shock_settlement_strong|shock_exhaustion_low|relief_volume_flat|prior_day_range_hot|session_pressure_low|spread_high|early_session,17506.4,17512.39,17502.04,17512.39,4.59,3,target,8.75,0.15,1.4
rw_001,124475,2024-02-02 11:55:00,2024-02-02 12:05:00,-1,0.070669,short|short_spread_normal|medium_spread_calm|spread_flat|friction_range_high|price_recovery_aligned|post_shock_settlement_mixed|shock_exhaustion_low|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|europe_morning,17513.25,17504.04,17519.94,17504.04,7.81,3,target,10.45,3.0,1.4
rw_001,124530,2024-02-02 16:30:00,2024-02-02 16:30:00,1,0.146047,long|short_spread_normal|medium_spread_elevated|spread_rebuilding|friction_range_low|price_recovery_aligned|post_shock_settlement_strong|shock_exhaustion_mid|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|us_overlap,17411.0,17399.92,17399.92,17426.24,-11.08,1,stop,12.6,42.25,0.0
rw_001,124539,2024-02-02 17:15:00,2024-02-02 17:20:00,1,0.133633,long|short_spread_normal|medium_spread_shock|spread_relieving|friction_range_low|price_recovery_aligned|post_shock_settlement_strong|shock_exhaustion_high|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|late_session,17494.5,17515.98,17478.88,17515.98,21.48,2,target,28.0,10.4,0.0
rw_001,124548,2024-02-02 18:00:00,2024-02-02 18:00:00,-1,0.39633,short|short_spread_relief_low|medium_spread_shock|spread_relieving|friction_range_low|price_recovery_adverse|post_shock_settlement_strong|shock_exhaustion_high|relief_volume_fading|prior_day_range_hot|session_pressure_high|spread_low|late_session,17542.55,17515.41,17562.28,17515.41,26.49,1,target,32.9,6.1,0.65
rw_001,124554,2024-02-02 18:30:00,2024-02-02 18:45:00,1,0.515016,long|short_spread_shocked|medium_spread_shock|spread_rebuilding|friction_range_low|price_recovery_aligned|post_shock_settlement_strong|shock_exhaustion_high|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|late_session,17574.05,17603.44,17552.67,17603.44,27.99,4,target,35.25,1.05,1.4
rw_001,124564,2024-02-02 19:20:00,2024-02-02 19:30:00,1,0.235161,long|short_spread_shocked|medium_spread_elevated|spread_rebuilding|friction_range_mid|price_recovery_aligned|post_shock_settlement_strong|shock_exhaustion_high|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|late_session,17625.0,17656.13,17602.36,17656.13,30.18,3,target,34.05,9.75,0.95
rw_001,124581,2024-02-02 20:45:00,2024-02-02 21:00:00,1,0.221678,long|short_spread_normal|medium_spread_shock|spread_rebuilding|friction_range_low|price_recovery_adverse|post_shock_settlement_strong|shock_exhaustion_high|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_low|late_session,17621.5,17652.07,17599.27,17652.07,30.27,4,target,32.1,10.6,0.3
rw_001,124680,2024-02-05 06:05:00,2024-02-05 06:55:00,1,0.139965,long|short_spread_normal|medium_spread_calm|spread_flat|friction_range_high|price_recovery_aligned|post_shock_settlement_mixed|shock_exhaustion_low|relief_volume_flat|prior_day_range_hot|session_pressure_low|spread_high|early_session,17588.25,17590.65,17581.82,17597.09,1.0,11,max_hold,2.5,3.9,1.4
rw_001,124805,2024-02-05 16:30:00,2024-02-05 16:30:00,1,0.068206,long|short_spread_normal|medium_spread_calm|spread_relieving|friction_range_high|price_recovery_aligned|post_shock_settlement_strong|shock_exhaustion_low|relief_volume_flat|prior_day_range_hot|session_pressure_high|spread_mid|us_overlap,17627.85,17620.85,17620.85,17637.48,-7.25,1,stop,14.2,14.95,0.25
