fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124162,2024-02-01 08:50:00,2024-02-01 08:50:00,-1,0.506063,short|cost_slippage_portability_hardening|moderate_cost_stable,17185.5,17179.26,17190.03,17179.26,4.84,1,target,10.25,0.0,1.4
rw_001,124239,2024-02-01 15:15:00,2024-02-01 15:15:00,1,0.865847,long|cost_slippage_portability_hardening|low_cost_stable,17212.5,17205.55,17205.55,17222.06,-7.6,1,stop,1.9,14.45,0.65
rw_001,124259,2024-02-01 16:55:00,2024-02-01 16:55:00,-1,0.662001,short|cost_slippage_portability_hardening|low_cost_stable,17208.55,17193.44,17219.54,17193.44,14.94,1,target,27.25,2.15,0.17
rw_001,124270,2024-02-01 17:50:00,2024-02-01 17:50:00,1,1.050093,long|cost_slippage_portability_hardening|low_cost_stable,17230.75,17216.15,17216.15,17250.83,-15.95,1,stop,2.35,49.3,1.35
rw_001,124276,2024-02-01 18:20:00,2024-02-01 18:20:00,-1,0.673503,short|cost_slippage_portability_hardening|low_cost_stable,17176.45,17192.71,17192.71,17154.09,-17.66,1,stop,5.3,18.2,1.4
rw_001,124284,2024-02-01 19:00:00,2024-02-01 19:00:00,1,0.539864,long|cost_slippage_portability_hardening|low_cost_stable,17220.3,17245.02,17202.32,17245.02,23.32,1,target,34.6,1.75,1.4
rw_001,124290,2024-02-01 19:30:00,2024-02-01 19:45:00,1,0.912714,long|cost_slippage_portability_hardening|moderate_cost_stable,17240.25,17266.24,17221.35,17266.24,25.67,4,target,38.85,9.1,0.32
rw_001,124297,2024-02-01 20:05:00,2024-02-01 20:10:00,1,1.037047,long|cost_slippage_portability_hardening|moderate_cost_stable,17239.6,17266.35,17220.15,17266.35,25.5,2,target,30.75,14.6,1.25
rw_001,124407,2024-02-02 06:15:00,2024-02-02 06:15:00,-1,0.679287,short|cost_slippage_portability_hardening|moderate_cost_stable,17509.65,17513.9,17513.9,17503.81,-5.65,1,stop,0.15,5.5,1.4
rw_001,124423,2024-02-02 07:35:00,2024-02-02 08:00:00,1,0.721942,long|cost_slippage_portability_hardening|moderate_cost_stable,17515.6,17511.71,17511.71,17520.95,-5.29,6,stop,4.3,9.45,1.4
rw_001,124440,2024-02-02 09:00:00,2024-02-02 09:00:00,1,0.729747,long|cost_slippage_portability_hardening|moderate_cost_stable,17512.35,17508.43,17508.43,17517.74,-5.32,1,stop,0.0,12.4,1.4
rw_001,124475,2024-02-02 11:55:00,2024-02-02 11:55:00,1,1.026798,long|cost_slippage_portability_hardening|low_cost_stable,17513.25,17506.56,17506.56,17522.46,-8.09,1,stop,2.9,6.8,1.4
rw_001,124481,2024-02-02 12:25:00,2024-02-02 12:25:00,1,0.750677,long|cost_slippage_portability_hardening|low_cost_stable,17513.2,17522.69,17506.3,17522.69,8.09,1,target,9.95,1.45,1.4
rw_001,124488,2024-02-02 13:00:00,2024-02-02 13:00:00,1,0.991328,long|cost_slippage_portability_hardening|low_cost_stable,17512.05,17505.01,17505.01,17521.73,-8.44,1,stop,0.2,7.15,1.4
rw_001,124498,2024-02-02 13:50:00,2024-02-02 14:05:00,1,0.898673,long|cost_slippage_portability_hardening|low_cost_stable,17517.15,17510.16,17510.16,17526.76,-8.39,4,stop,6.55,9.8,1.4
