fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124129,2024-02-01 06:05:00,2024-02-01 06:10:00,-1,0.726665,short|post_c0022_negative_memory|c0017|same_5|opp_4,17209.1,17214.45,17214.45,17201.75,-6.75,2,stop,0.75,7.95,1.4
rw_001,124137,2024-02-01 06:45:00,2024-02-01 07:00:00,-1,0.537411,short|post_c0022_negative_memory|c0022|same_3|opp_4,17216.8,17209.9,17221.82,17209.9,5.5,4,target,10.7,1.0,1.4
rw_001,124210,2024-02-01 12:50:00,2024-02-01 13:00:00,-1,0.619941,short|post_c0022_negative_memory|c0022|same_4|opp_5,17243.9,17252.51,17252.51,17232.06,-10.01,3,stop,2.15,9.55,1.4
rw_001,124271,2024-02-01 17:55:00,2024-02-01 18:00:00,-1,0.574136,short|post_c0022_negative_memory|c0018|same_1|opp_2,17185.1,17164.69,17199.95,17164.69,20.41,2,target,25.35,5.65,0.0
rw_001,124277,2024-02-01 18:25:00,2024-02-01 18:35:00,1,0.256488,long|post_c0022_negative_memory|c0021|same_3|opp_4,17187.8,17210.38,17171.38,17210.38,22.58,3,target,28.45,15.35,0.0
rw_001,124284,2024-02-01 19:00:00,2024-02-01 19:00:00,-1,1.032189,short|post_c0022_negative_memory|c0013|same_2|opp_8,17220.3,17238.28,17238.28,17195.58,-19.38,1,stop,1.75,34.6,1.4
rw_001,124293,2024-02-01 19:45:00,2024-02-01 19:45:00,-1,1.028926,short|post_c0022_negative_memory|c0019|same_3|opp_7,17241.45,17259.89,17259.89,17216.09,-19.84,1,stop,0.75,37.65,1.4
rw_001,124302,2024-02-01 20:30:00,2024-02-01 20:30:00,-1,0.839381,short|post_c0022_negative_memory|c0020|same_1|opp_6,17269.2,17289.43,17289.43,17241.39,-20.4,1,stop,1.9,27.8,0.17
rw_001,124407,2024-02-02 06:15:00,2024-02-02 06:15:00,-1,1.146652,short|post_c0022_negative_memory|c0017|same_2|opp_6,17509.65,17513.9,17513.9,17503.81,-5.65,1,stop,0.15,5.5,1.4
rw_001,124441,2024-02-02 09:05:00,2024-02-02 09:10:00,-1,-0.095682,short|post_c0022_negative_memory|c0018|same_1|opp_0,17500.75,17504.71,17504.71,17495.31,-5.36,2,stop,2.9,6.3,1.4
rw_001,124519,2024-02-02 15:35:00,2024-02-02 15:35:00,-1,2.803471,short|post_c0022_negative_memory|c0018|same_1|opp_0,17430.0,17436.62,17436.62,17420.89,-6.62,1,stop,15.75,10.05,0.0
rw_001,124551,2024-02-02 18:15:00,2024-02-02 18:30:00,1,-0.024612,long|post_c0022_negative_memory|c0021|same_3|opp_2,17554.25,17583.01,17533.33,17583.01,27.36,4,target,34.75,19.25,1.4
rw_001,124557,2024-02-02 18:45:00,2024-02-02 19:15:00,-1,1.533718,short|post_c0022_negative_memory|c0013|same_2|opp_8,17599.65,17621.72,17621.72,17569.31,-22.42,7,stop,4.65,25.6,0.35
rw_001,124568,2024-02-02 19:40:00,2024-02-02 19:40:00,1,0.883688,long|post_c0022_negative_memory|c0014|same_2|opp_4,17657.1,17635.13,17635.13,17687.31,-21.97,1,stop,1.65,81.15,0.0
rw_001,124575,2024-02-02 20:15:00,2024-02-02 20:25:00,1,0.473375,long|post_c0022_negative_memory|c0021|same_3|opp_4,17630.6,17608.27,17608.27,17661.31,-22.48,3,stop,11.7,37.15,0.15
rw_001,124581,2024-02-02 20:45:00,2024-02-02 21:00:00,1,0.532333,long|post_c0022_negative_memory|c0021|same_3|opp_4,17621.5,17652.07,17599.27,17652.07,30.27,4,target,32.1,10.6,0.3
rw_001,124685,2024-02-05 06:30:00,2024-02-05 07:00:00,-1,2.362479,short|post_c0022_negative_memory|c0022|same_2|opp_2,17587.8,17592.87,17592.87,17580.83,-6.47,7,stop,3.45,6.55,1.4
rw_001,124722,2024-02-05 09:35:00,2024-02-05 09:35:00,1,-0.08976,long|post_c0022_negative_memory|c0017|same_2|opp_0,17598.6,17603.4,17595.11,17603.4,3.4,1,target,9.65,0.15,1.4
rw_001,124743,2024-02-05 11:20:00,2024-02-05 11:25:00,-1,-0.043554,short|post_c0022_negative_memory|c0018|same_1|opp_0,17610.45,17602.67,17616.11,17602.67,6.38,2,target,15.15,0.8,1.4
