fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124134,2024-02-01 06:30:00,2024-02-01 06:45:00,1,-3.333995,long|structural_acceptance_continuation,17218.4,17213.17,17213.17,17225.59,-6.63,4,stop,1.25,7.8,1.4
rw_001,124147,2024-02-01 07:35:00,2024-02-01 07:50:00,-1,-3.331248,short|structural_acceptance_continuation,17202.75,17196.64,17207.2,17196.64,4.71,4,target,7.3,1.55,1.4
rw_001,124157,2024-02-01 08:25:00,2024-02-01 08:25:00,-1,-3.525865,short|structural_acceptance_continuation,17190.35,17184.67,17194.48,17184.67,4.28,1,target,9.15,1.35,1.4
rw_001,124215,2024-02-01 13:15:00,2024-02-01 14:05:00,-1,-3.385736,short|structural_acceptance_continuation,17231.55,17239.77,17239.77,17220.24,-9.62,11,stop,10.1,18.1,1.4
rw_001,124238,2024-02-01 15:10:00,2024-02-01 15:10:00,-1,-3.605607,short|structural_acceptance_continuation,17224.15,17214.47,17231.19,17214.47,9.68,1,target,15.7,1.6,0.0
rw_001,124266,2024-02-01 17:30:00,2024-02-01 17:30:00,1,-3.665613,long|structural_acceptance_continuation,17264.25,17250.73,17250.73,17282.85,-13.79,1,stop,2.35,14.95,0.27
rw_001,124285,2024-02-01 19:05:00,2024-02-01 19:05:00,1,-3.539931,long|structural_acceptance_continuation,17248.8,17273.5,17230.83,17273.5,23.3,1,target,33.15,0.0,1.4
rw_001,124295,2024-02-01 19:55:00,2024-02-01 19:55:00,1,-3.539934,long|structural_acceptance_continuation,17296.05,17277.31,17277.31,17321.82,-20.14,1,stop,12.4,29.05,1.4
rw_001,124422,2024-02-02 07:30:00,2024-02-02 07:30:00,1,-3.571177,long|structural_acceptance_continuation,17522.65,17518.8,17518.8,17527.94,-4.1,1,stop,0.35,7.55,0.25
rw_001,124463,2024-02-02 10:55:00,2024-02-02 10:55:00,1,-3.622136,long|structural_acceptance_continuation,17525.45,17519.94,17519.94,17533.03,-6.91,1,stop,4.85,8.2,1.4
rw_001,124473,2024-02-02 11:45:00,2024-02-02 11:45:00,-1,-3.53615,short|structural_acceptance_continuation,17505.7,17512.19,17512.19,17496.78,-7.89,1,stop,0.0,9.25,1.4
rw_001,124482,2024-02-02 12:30:00,2024-02-02 12:55:00,1,-3.479957,long|structural_acceptance_continuation,17521.9,17514.99,17514.99,17531.4,-8.31,6,stop,8.25,11.05,1.4
rw_001,124500,2024-02-02 14:00:00,2024-02-02 14:05:00,1,-3.335578,long|structural_acceptance_continuation,17522.55,17515.6,17515.6,17532.11,-8.35,2,stop,1.15,15.2,1.4
rw_001,124517,2024-02-02 15:25:00,2024-02-02 15:30:00,-1,-3.500533,short|structural_acceptance_continuation,17515.15,17506.02,17521.79,17506.02,7.73,2,target,105.65,3.3,1.4
rw_001,124557,2024-02-02 18:45:00,2024-02-02 19:25:00,1,-3.395163,long|structural_acceptance_continuation,17599.65,17629.99,17577.58,17629.99,29.99,9,target,54.5,4.65,0.35
rw_001,124692,2024-02-05 07:05:00,2024-02-05 07:05:00,1,-3.182975,long|structural_acceptance_continuation,17591.15,17587.22,17587.22,17596.55,-5.33,1,stop,1.1,5.65,1.4
rw_001,124705,2024-02-05 08:10:00,2024-02-05 08:15:00,1,-3.583342,long|structural_acceptance_continuation,17607.75,17604.22,17604.22,17612.61,-4.93,2,stop,2.05,7.65,1.4
rw_001,124757,2024-02-05 12:30:00,2024-02-05 12:30:00,1,-3.372797,long|structural_acceptance_continuation,17609.75,17618.69,17603.24,17618.69,7.54,1,target,13.35,0.0,1.4
rw_001,124774,2024-02-05 13:55:00,2024-02-05 13:55:00,-1,-3.425831,short|structural_acceptance_continuation,17609.5,17616.47,17616.47,17599.92,-8.37,1,stop,2.35,7.2,1.4
rw_001,124795,2024-02-05 15:40:00,2024-02-05 15:45:00,-1,-3.568753,short|structural_acceptance_continuation,17605.7,17612.58,17612.58,17596.24,-8.28,2,stop,5.15,8.45,1.4
rw_001,124805,2024-02-05 16:30:00,2024-02-05 16:30:00,1,-3.507729,long|structural_acceptance_continuation,17627.85,17620.85,17620.85,17637.48,-7.25,1,stop,14.2,14.95,0.25
rw_001,124830,2024-02-05 18:35:00,2024-02-05 18:40:00,1,-3.410206,long|structural_acceptance_continuation,17547.6,17533.19,17533.19,17567.41,-15.81,2,stop,2.0,26.1,1.4
rw_001,124840,2024-02-05 19:25:00,2024-02-05 19:35:00,1,-3.345163,long|structural_acceptance_continuation,17591.65,17613.36,17575.86,17613.36,20.31,3,target,33.0,7.75,1.4
rw_001,124963,2024-02-06 06:40:00,2024-02-06 06:50:00,1,-3.389566,long|structural_acceptance_continuation,17643.8,17648.28,17640.54,17648.28,3.08,3,target,4.85,1.15,1.4
rw_001,124982,2024-02-06 08:15:00,2024-02-06 08:15:00,-1,-3.52938,short|structural_acceptance_continuation,17638.65,17641.97,17641.97,17634.09,-4.72,1,stop,0.2,5.1,1.4
rw_001,124995,2024-02-06 09:20:00,2024-02-06 09:20:00,1,-3.706506,long|structural_acceptance_continuation,17662.8,17667.87,17659.11,17667.87,3.67,1,target,5.25,0.75,1.4
rw_001,125025,2024-02-06 11:50:00,2024-02-06 11:55:00,-1,-3.626202,short|structural_acceptance_continuation,17641.2,17633.55,17646.77,17633.55,6.25,2,target,9.25,1.95,1.4
rw_001,125040,2024-02-06 13:05:00,2024-02-06 13:10:00,1,-3.40978,long|structural_acceptance_continuation,17645.6,17639.24,17639.24,17654.35,-7.76,2,stop,0.8,12.4,1.4
rw_001,125064,2024-02-06 15:05:00,2024-02-06 15:10:00,1,-3.484242,long|structural_acceptance_continuation,17620.5,17631.05,17612.83,17631.05,9.15,2,target,14.35,0.05,1.4
rw_001,125076,2024-02-06 16:05:00,2024-02-06 16:05:00,1,-3.450988,long|structural_acceptance_continuation,17654.7,17647.18,17647.18,17665.04,-8.92,1,stop,3.6,8.9,1.4
rw_001,125131,2024-02-06 20:40:00,2024-02-06 21:05:00,1,-3.310336,long|structural_acceptance_continuation,17533.45,17514.75,17514.75,17559.16,-20.1,6,stop,5.65,47.7,1.4
rw_001,125232,2024-02-07 06:05:00,2024-02-07 06:55:00,-1,-3.386939,short|structural_acceptance_continuation,17574.1,17572.85,17578.85,17567.56,-0.15,11,max_hold,5.45,4.4,1.4
rw_001,125290,2024-02-07 10:55:00,2024-02-07 11:00:00,1,-3.403045,long|structural_acceptance_continuation,17568.85,17564.01,17564.01,17575.5,-6.24,2,stop,1.3,5.1,1.4
rw_001,125322,2024-02-07 13:35:00,2024-02-07 13:35:00,1,-3.835968,long|structural_acceptance_continuation,17599.5,17594.26,17594.26,17606.71,-6.64,1,stop,1.45,5.45,1.4
rw_001,125332,2024-02-07 14:25:00,2024-02-07 14:25:00,-1,-3.690246,short|structural_acceptance_continuation,17570.35,17575.99,17575.99,17562.6,-7.04,1,stop,2.6,18.15,1.4
rw_001,125338,2024-02-07 14:55:00,2024-02-07 15:00:00,1,-3.76456,long|structural_acceptance_continuation,17620.45,17629.12,17614.15,17629.12,8.24,2,target,14.2,3.4,0.43
rw_001,125357,2024-02-07 16:30:00,2024-02-07 16:30:00,1,-3.59422,long|structural_acceptance_continuation,17686.0,17678.61,17678.61,17696.16,-7.39,1,stop,3.75,28.4,0.0
rw_001,125382,2024-02-07 18:35:00,2024-02-07 18:40:00,-1,-3.401933,short|structural_acceptance_continuation,17719.65,17734.91,17734.91,17698.67,-15.66,2,stop,4.75,21.1,0.4
rw_001,125405,2024-02-07 20:30:00,2024-02-07 20:40:00,1,-3.382382,long|structural_acceptance_continuation,17760.8,17742.15,17742.15,17786.44,-20.05,3,stop,8.05,19.15,1.4
rw_001,125516,2024-02-08 06:45:00,2024-02-08 06:45:00,1,-3.372042,long|structural_acceptance_continuation,17760.0,17757.67,17757.67,17763.21,-3.73,1,stop,0.2,2.8,1.4
rw_001,125529,2024-02-08 07:50:00,2024-02-08 07:55:00,-1,-3.540133,short|structural_acceptance_continuation,17751.2,17753.3,17753.3,17748.32,-3.5,2,stop,0.5,3.35,1.4
rw_001,125588,2024-02-08 12:45:00,2024-02-08 13:15:00,-1,-3.538665,short|structural_acceptance_continuation,17744.3,17737.65,17749.14,17737.65,5.25,7,target,10.85,2.9,1.4
rw_001,125623,2024-02-08 15:40:00,2024-02-08 15:40:00,1,-3.689772,long|structural_acceptance_continuation,17730.25,17724.32,17724.32,17738.4,-6.01,1,stop,5.4,6.05,0.08
rw_001,125633,2024-02-08 16:30:00,2024-02-08 16:30:00,1,-3.560424,long|structural_acceptance_continuation,17743.25,17736.62,17736.62,17752.37,-6.7,1,stop,9.15,16.15,0.07
rw_001,125673,2024-02-08 19:50:00,2024-02-08 20:00:00,-1,-3.356884,short|structural_acceptance_continuation,17765.75,17778.3,17778.3,17748.49,-13.95,3,stop,8.6,27.5,1.4
rw_001,125683,2024-02-08 20:40:00,2024-02-08 20:50:00,1,-3.333801,long|structural_acceptance_continuation,17795.35,17782.08,17782.08,17813.6,-14.67,3,stop,0.9,25.25,1.4
rw_001,125795,2024-02-09 07:00:00,2024-02-09 07:00:00,-1,-3.327431,short|structural_acceptance_continuation,17780.2,17782.73,17782.73,17776.72,-3.93,1,stop,0.0,3.25,1.4
rw_001,125807,2024-02-09 08:00:00,2024-02-09 08:00:00,-1,-3.492932,short|structural_acceptance_continuation,17779.55,17781.54,17781.54,17776.82,-3.39,1,stop,0.0,2.3,1.4
rw_001,125813,2024-02-09 08:30:00,2024-02-09 08:30:00,-1,-3.545098,short|structural_acceptance_continuation,17776.5,17778.43,17778.43,17773.84,-3.33,1,stop,0.2,6.15,1.4
rw_001,125859,2024-02-09 12:20:00,2024-02-09 12:55:00,1,-3.572211,long|structural_acceptance_continuation,17831.95,17826.46,17826.46,17839.5,-6.89,8,stop,3.4,6.75,1.4
rw_001,125880,2024-02-09 14:05:00,2024-02-09 14:05:00,1,-3.65985,long|structural_acceptance_continuation,17842.0,17835.87,17835.87,17850.43,-7.53,1,stop,0.6,6.25,1.4
rw_001,125928,2024-02-09 18:05:00,2024-02-09 18:15:00,1,-3.46814,long|structural_acceptance_continuation,17912.6,17900.99,17900.99,17928.56,-11.61,3,stop,9.4,14.25,0.0
rw_001,125949,2024-02-09 19:50:00,2024-02-09 20:10:00,1,-3.352516,long|structural_acceptance_continuation,17927.55,17943.87,17915.68,17943.87,14.92,5,target,20.95,1.9,1.4
rw_001,125957,2024-02-09 20:30:00,2024-02-09 21:20:00,1,-3.359876,long|structural_acceptance_continuation,17951.5,17958.1,17939.9,17967.45,5.2,11,max_hold,10.65,9.6,1.4
rw_001,126068,2024-02-12 06:50:00,2024-02-12 06:50:00,-1,-3.528386,short|structural_acceptance_continuation,17939.6,17936.9,17941.56,17936.9,1.3,1,target,3.7,0.0,1.4
rw_001,126084,2024-02-12 08:10:00,2024-02-12 08:10:00,1,-3.402124,long|structural_acceptance_continuation,17938.95,17937.22,17937.22,17941.33,-3.13,1,stop,0.05,2.1,1.4
rw_001,126096,2024-02-12 09:10:00,2024-02-12 09:10:00,1,-3.746588,long|structural_acceptance_continuation,17947.3,17950.14,17945.23,17950.14,1.44,1,target,4.4,0.95,1.4
rw_001,126155,2024-02-12 14:05:00,2024-02-12 14:05:00,-1,-3.599794,short|structural_acceptance_continuation,17956.65,17961.17,17961.17,17950.43,-5.92,1,stop,0.3,6.25,1.4
rw_001,126176,2024-02-12 15:50:00,2024-02-12 15:55:00,-1,-3.533737,short|structural_acceptance_continuation,17945.85,17950.32,17950.32,17939.7,-5.87,2,stop,1.45,5.15,1.4
rw_001,126200,2024-02-12 17:50:00,2024-02-12 17:50:00,1,-3.618945,long|structural_acceptance_continuation,17980.35,17990.77,17972.77,17990.77,9.02,1,target,17.45,6.0,1.4
rw_001,126207,2024-02-12 18:25:00,2024-02-12 18:30:00,1,-3.62011,long|structural_acceptance_continuation,18000.7,18012.3,17992.26,18012.3,10.2,2,target,27.85,1.05,1.4
rw_001,126232,2024-02-12 20:30:00,2024-02-12 20:30:00,-1,-3.610931,short|structural_acceptance_continuation,17969.75,17953.34,17981.69,17953.34,16.41,1,target,20.75,0.0,0.0
rw_001,126357,2024-02-13 07:55:00,2024-02-13 07:55:00,1,-3.581838,long|structural_acceptance_continuation,17866.15,17863.93,17863.93,17869.2,-3.62,1,stop,1.1,3.15,1.4
rw_001,126412,2024-02-13 12:30:00,2024-02-13 12:30:00,-1,-3.573324,short|structural_acceptance_continuation,17774.35,17781.7,17781.7,17764.24,-8.75,1,stop,0.1,13.8,1.4
rw_001,126445,2024-02-13 15:15:00,2024-02-13 15:30:00,1,-3.335948,long|structural_acceptance_continuation,17766.8,17758.86,17758.86,17777.72,-9.34,4,stop,22.7,166.1,1.4
rw_001,126465,2024-02-13 16:55:00,2024-02-13 16:55:00,1,-3.517113,long|structural_acceptance_continuation,17601.95,17586.23,17586.23,17623.57,-15.72,1,stop,5.95,19.25,0.0
rw_001,126471,2024-02-13 17:25:00,2024-02-13 17:25:00,1,-3.575642,long|structural_acceptance_continuation,17627.9,17653.12,17609.56,17653.12,23.87,1,target,36.8,0.0,1.35
rw_001,126490,2024-02-13 19:00:00,2024-02-13 19:25:00,-1,-3.305456,short|structural_acceptance_continuation,17644.85,17612.46,17668.41,17612.46,32.24,6,target,35.6,3.35,0.15
rw_001,126501,2024-02-13 19:55:00,2024-02-13 20:15:00,-1,-3.429267,short|structural_acceptance_continuation,17599.05,17620.08,17620.08,17570.13,-21.03,5,stop,11.85,21.8,0.0
rw_001,126512,2024-02-13 20:50:00,2024-02-13 21:00:00,-1,-3.294327,short|structural_acceptance_continuation,17584.95,17558.91,17603.89,17558.91,25.49,3,target,36.1,2.2,0.55
