fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124204,2024-02-01 12:20:00,2024-02-01 12:45:00,1,0.068603,long|vacuum_deep|refill_pressure_mixed|void_recoil_absent|depth_gap_absent|settlement_balanced|recompression_defined|participation_recovery_fading|prior_liquidity_supportive|time_refill_mixed|session_phase_core|spread_high|europe_morning,17234.85,17247.14,17225.91,17247.14,10.89,6,target,13.65,0.15,1.4
rw_001,124211,2024-02-01 12:55:00,2024-02-01 13:05:00,1,0.109357,long|vacuum_deep|refill_pressure_with|void_recoil_absent|depth_gap_defined|settlement_balanced|recompression_defined|participation_recovery_fading|prior_liquidity_neutral|time_refill_mixed|session_phase_core|spread_high|europe_morning,17249.1,17240.56,17240.56,17260.84,-9.94,3,stop,4.35,10.7,1.4
rw_001,124219,2024-02-01 13:35:00,2024-02-01 14:05:00,-1,0.076879,short|vacuum_deep|refill_pressure_with|void_recoil_defined|depth_gap_defined|settlement_balanced|recompression_tight|participation_recovery_flat|prior_liquidity_supportive|time_refill_mixed|session_phase_core|spread_high|us_overlap,17231.85,17239.86,17239.86,17220.84,-9.41,7,stop,10.4,17.8,1.4
rw_001,124239,2024-02-01 15:15:00,2024-02-01 15:15:00,-1,0.046109,short|vacuum_absent|refill_pressure_mixed|void_recoil_defined|depth_gap_absent|settlement_balanced|recompression_absent|participation_recovery_active|prior_liquidity_supportive|time_refill_mixed|session_phase_core|spread_low|us_overlap,17212.5,17202.94,17219.45,17202.94,8.91,1,target,14.45,1.9,0.65
rw_001,124278,2024-02-01 18:30:00,2024-02-01 18:30:00,-1,0.104618,short|vacuum_absent|refill_pressure_mixed|void_recoil_defined|depth_gap_absent|settlement_persistent|recompression_absent|participation_recovery_flat|prior_liquidity_supportive|time_refill_mixed|session_phase_late|spread_low|late_session,17176.5,17193.2,17193.2,17153.53,-17.2,1,stop,1.05,30.6,0.5
rw_001,124284,2024-02-01 19:00:00,2024-02-01 19:00:00,-1,0.222226,short|vacuum_defined|refill_pressure_against|void_recoil_absent|depth_gap_absent|settlement_balanced|recompression_absent|participation_recovery_fading|prior_liquidity_supportive|time_refill_mixed|session_phase_late|spread_mid|late_session,17220.3,17238.28,17238.28,17195.58,-19.38,1,stop,1.75,34.6,1.4
rw_001,124292,2024-02-01 19:40:00,2024-02-01 19:45:00,1,0.306516,long|vacuum_deep|refill_pressure_mixed|void_recoil_absent|depth_gap_absent|settlement_balanced|recompression_absent|participation_recovery_fading|prior_liquidity_supportive|time_refill_mixed|session_phase_late|spread_low|late_session,17238.55,17264.39,17219.76,17264.39,24.69,2,target,40.55,5.6,1.15
rw_001,124303,2024-02-01 20:35:00,2024-02-01 20:35:00,-1,0.30043,short|vacuum_defined|refill_pressure_against|void_recoil_absent|depth_gap_absent|settlement_against|recompression_absent|participation_recovery_flat|prior_liquidity_supportive|time_refill_mixed|session_phase_late|spread_low|late_session,17285.85,17258.28,17305.9,17258.28,27.47,1,target,49.2,5.25,0.1
rw_001,124488,2024-02-02 13:00:00,2024-02-02 13:00:00,1,0.06847,long|vacuum_defined|refill_pressure_mixed|void_recoil_absent|depth_gap_absent|settlement_balanced|recompression_absent|participation_recovery_flat|prior_liquidity_supportive|time_refill_mixed|session_phase_core|spread_low|europe_morning,17512.05,17505.01,17505.01,17521.73,-8.44,1,stop,0.2,7.15,1.4
rw_001,124501,2024-02-02 14:05:00,2024-02-02 14:05:00,1,0.063209,long|vacuum_deep|refill_pressure_with|void_recoil_absent|depth_gap_absent|settlement_balanced|recompression_tight|participation_recovery_flat|prior_liquidity_supportive|time_refill_mixed|session_phase_core|spread_high|us_overlap,17519.75,17512.87,17512.87,17529.21,-8.28,1,stop,0.0,12.4,1.4
rw_001,124548,2024-02-02 18:00:00,2024-02-02 18:00:00,1,0.094511,long|vacuum_absent|refill_pressure_mixed|void_recoil_defined|depth_gap_absent|settlement_balanced|recompression_absent|participation_recovery_fading|prior_liquidity_supportive|time_refill_mixed|session_phase_late|spread_low|late_session,17542.55,17522.81,17522.81,17569.69,-20.39,1,stop,6.1,32.9,0.65
rw_001,124556,2024-02-02 18:40:00,2024-02-02 19:15:00,1,0.234169,long|vacuum_defined|refill_pressure_mixed|void_recoil_absent|depth_gap_absent|settlement_balanced|recompression_absent|participation_recovery_fading|prior_liquidity_supportive|time_refill_mixed|session_phase_late|spread_low|late_session,17594.95,17625.08,17573.04,17625.08,28.73,8,target,30.3,6.2,1.4
